#,Date,Rank,Price,Sales
1,2/8/2023,152224,19.99,0
2,2/7/2023,187996,19.99,0
3,2/6/2023,193452,19.99,0
4,2/5/2023,183219,19.99,0
5,2/4/2023,163968,19.99,0
6,2/3/2023,175053,19.99,0
7,2/2/2023,190829,19.99,0
8,2/1/2023,190083,19.99,0
9,1/31/2023,158007,19.99,0
10,1/30/2023,144218,19.99,0
11,1/29/2023,130587,19.99,0
12,1/28/2023,161517,19.99,0
13,1/27/2023,139430,19.99,0
14,1/26/2023,147920,19.99,0
15,1/25/2023,144630,19.99,0
16,1/24/2023,111551,19.99,0
17,1/23/2023,129110,19.99,0
18,1/22/2023,128861,19.99,0
19,1/21/2023,125011,19.99,0
20,1/20/2023,176138,19.99,0
21,1/19/2023,148400,19.99,0
22,1/18/2023,136413,19.99,0
23,1/17/2023,147170,19.99,0
24,1/16/2023,149687,19.99,0
25,1/15/2023,159406,19.99,0
26,1/14/2023,122299,19.99,0
27,1/13/2023,158606,19.99,0
28,1/12/2023,89498,19.99,3
29,1/11/2023,77916,19.99,5
30,1/10/2023,76050,19.99,5
31,1/9/2023,81704,19.99,4
32,1/8/2023,85007,19.99,4
33,1/7/2023,91343,19.99,3
34,1/6/2023,105238,19.99,0
35,1/5/2023,121540,19.99,0
36,1/4/2023,128999,19.99,0
37,1/3/2023,131268,19.99,0
38,1/2/2023,98271,19.99,2
39,1/1/2023,135885,19.99,0
40,12/31/2022,168804,19.99,0
41,12/30/2022,166660,19.99,0
42,12/29/2022,146092,19.99,0
43,12/28/2022,148503,19.99,0
44,12/27/2022,133826,19.99,0
45,12/26/2022,149933,19.99,0
46,12/25/2022,144529,19.99,0
47,12/24/2022,129166,19.99,0
48,12/23/2022,120542,19.99,0
49,12/22/2022,130855,19.99,0
50,12/21/2022,123861,19.99,0
51,12/20/2022,107489,19.99,0
52,12/19/2022,117663,19.99,0
53,12/18/2022,107107,19.99,0
54,12/17/2022,112586,19.99,0
55,12/16/2022,121674,19.99,0
56,12/15/2022,130761,19.99,0
57,12/14/2022,164142,19.99,0
58,12/13/2022,154591,19.99,0
59,12/12/2022,150643,19.99,0
60,12/11/2022,160408,19.99,0
61,12/10/2022,169878,19.99,0
62,12/9/2022,187762,19.99,0
63,12/8/2022,200080,19.99,0
64,12/7/2022,189971,19.99,0
65,12/6/2022,185380,19.99,0
66,12/5/2022,178459,19.99,0
67,12/4/2022,160147,19.99,0
68,12/3/2022,129224,19.99,0
69,12/2/2022,118588,19.99,0
70,12/1/2022,125682,19.99,0
71,11/30/2022,141862,19.99,0
72,11/29/2022,178484,19.99,0
73,11/28/2022,172827,19.99,0
74,11/27/2022,145062,19.99,0
75,11/26/2022,159271,19.99,0
76,11/25/2022,169831,19.99,0
77,11/24/2022,119277,19.99,0
78,11/23/2022,135608,19.99,0
79,11/22/2022,142687,19.99,0
80,11/21/2022,117118,19.99,0
81,11/20/2022,118521,19.99,0
82,11/19/2022,159313,19.99,0
83,11/18/2022,141356,19.99,0
84,11/17/2022,142881,19.99,0
85,11/16/2022,159113,19.99,0
86,11/15/2022,162867,19.99,0
