#,Date,Rank,Price,Sales
1,2/8/2023,5789,10.22,18
2,2/7/2023,7277,10.22,13
3,2/6/2023,8727,10.22,11
4,2/5/2023,7209,10.22,14
5,2/4/2023,6531,10.22,15
6,2/3/2023,6586,10.22,15
7,2/2/2023,7577,10.22,13
8,2/1/2023,6696,10.79,15
9,1/31/2023,5187,11.36,21
10,1/30/2023,4599,11.49,24
11,1/29/2023,3324,11.53,30
12,1/28/2023,3220,11.55,31
13,1/27/2023,3493,11.57,30
14,1/26/2023,4370,11.59,25
15,1/25/2023,5087,11.61,22
16,1/24/2023,5532,11.63,19
17,1/23/2023,5453,11.72,20
18,1/22/2023,6383,11.8,15
19,1/21/2023,6182,11.86,16
20,1/20/2023,6865,11.89,14
21,1/19/2023,6079,11.92,17
22,1/18/2023,4999,11.95,22
23,1/17/2023,6332,11.98,15
24,1/16/2023,10237,12.06,10
25,1/15/2023,8791,12.14,11
26,1/14/2023,7473,12.17,13
27,1/13/2023,6255,12.2,16
28,1/12/2023,5074,12.23,22
29,1/11/2023,4740,12.26,23
30,1/10/2023,4697,12.29,24
31,1/9/2023,5149,12.34,21
32,1/8/2023,5544,12.39,19
33,1/7/2023,5972,12.46,17
34,1/6/2023,6227,12.52,16
35,1/5/2023,7833,12.55,12
36,1/4/2023,8291,12.58,12
37,1/3/2023,8465,12.61,11
38,1/2/2023,8494,12.64,11
39,1/1/2023,10216,12.69,10
40,12/31/2022,7329,12.7,13
41,12/30/2022,7126,12.71,14
42,12/29/2022,9534,12.72,10
43,12/28/2022,10448,12.73,9
44,12/27/2022,8481,12.74,11
45,12/26/2022,11228,12.75,9
46,12/25/2022,7891,12.77,12
47,12/24/2022,7174,12.77,14
48,12/23/2022,6379,12.77,15
49,12/22/2022,8802,12.77,11
50,12/21/2022,10400,12.77,10
51,12/20/2022,9939,12.77,10
52,12/19/2022,10138,12.77,10
53,12/18/2022,10420,12.77,9
54,12/17/2022,9807,12.77,10
55,12/16/2022,8387,12.77,11
56,12/15/2022,9678,12.77,10
57,12/14/2022,10018,12.73,10
58,12/13/2022,10613,12.69,9
59,12/12/2022,11819,12.53,8
60,12/11/2022,11996,14.35,8
61,12/10/2022,13890,16.17,7
62,12/9/2022,11589,17.99,8
63,12/8/2022,12432,17.66,8
64,12/7/2022,13729,17.36,7
65,12/6/2022,12500,17.06,8
66,12/5/2022,13073,16.76,7
67,12/4/2022,12167,16.46,8
68,12/3/2022,13749,16.16,7
69,12/2/2022,11900,15.86,8
70,12/1/2022,12340,15.56,8
71,11/30/2022,14007,15.26,7
72,11/29/2022,11928,14.96,8
73,11/28/2022,13052,14.66,7
74,11/27/2022,13544,14.36,7
75,11/26/2022,11132,13.95,9
76,11/25/2022,13482,13.55,7
77,11/24/2022,12191,13.15,8
78,11/23/2022,9651,12.75,10
79,11/22/2022,8869,12.35,11
80,11/21/2022,7126,12.68,14
81,11/20/2022,4958,13,22
82,11/19/2022,6243,13.16,16
83,11/18/2022,5746,13.29,18
84,11/17/2022,5089,13.42,22
85,11/16/2022,4906,13.55,23
86,11/15/2022,5728,13.68,18
87,11/14/2022,5602,14.4,19
88,11/13/2022,6425,14.59,15
89,11/12/2022,6503,14.78,15
90,11/11/2022,8172,14.97,12
91,11/10/2022,10494,15.16,9
92,11/9/2022,10628,15.96,9
93,11/8/2022,9489,16.15,10
94,11/7/2022,9398,16.32,10
95,11/6/2022,9068,16.49,11
96,11/6/2022,8553,16.66,11
97,11/5/2022,14121,16.83,7
98,11/4/2022,21060,17,4
99,11/3/2022,25137,17.17,4
