#,Date,Rank,Price,Sales
1,2/8/2023,46707,24.64,2
2,2/7/2023,37157,24.78,2
3,2/6/2023,31763,24.84,3
4,2/5/2023,26369,24.9,3
5,2/4/2023,20976,24.87,4
6,2/3/2023,22194,24.85,4
7,2/2/2023,24477,24.82,4
8,2/1/2023,36806,24.79,3
9,1/31/2023,30906,24.69,3
10,1/30/2023,25832,24.68,3
11,1/29/2023,27508,24.66,3
12,1/28/2023,25451,24.64,3
13,1/27/2023,25729,24.66,3
14,1/26/2023,25094,24.62,4
15,1/25/2023,30073,25.68,3
16,1/24/2023,30101,25.59,3
17,1/23/2023,33133,25.56,3
18,1/22/2023,44375,25.55,2
19,1/21/2023,38476,25.43,2
20,1/20/2023,28739,25.4,3
21,1/19/2023,47636,25.29,2
22,1/18/2023,41880,25.18,2
23,1/17/2023,24970,24.64,4
24,1/16/2023,25980,24.1,3
25,1/15/2023,23575,24.14,4
26,1/14/2023,44706,24.18,2
27,1/13/2023,43322,24.31,2
28,1/12/2023,39716,25.02,2
29,1/11/2023,35606,23.83,3
30,1/10/2023,32471,23.82,3
31,1/9/2023,36026,23.83,3
32,1/8/2023,38450,23.84,2
33,1/7/2023,38985,23.85,2
34,1/6/2023,37516,23.74,2
35,1/5/2023,31180,23.38,3
36,1/4/2023,28968,23.77,3
37,1/3/2023,41260,24.15,2
38,1/2/2023,39396,24.11,2
39,1/1/2023,29716,24.3,3
40,12/31/2022,31236,24.46,3
41,12/30/2022,40989,24.49,2
42,12/29/2022,29466,25.98,3
43,12/28/2022,26484,26.96,3
44,12/27/2022,37780,21.08,2
45,12/26/2022,41688,21.05,2
46,12/25/2022,45595,21.03,2
47,12/24/2022,31715,20.89,3
48,12/23/2022,42145,20.84,2
49,12/22/2022,45192,21.15,2
50,12/21/2022,36559,21.45,3
51,12/20/2022,29255,21.48,3
52,12/19/2022,27046,21.67,3
53,12/18/2022,28089,21.96,3
54,12/17/2022,29079,21.95,3
55,12/16/2022,39587,21.95,2
56,12/15/2022,35588,21.93,3
57,12/14/2022,28432,21.93,3
58,12/13/2022,29513,21.93,3
59,12/12/2022,27454,21.93,3
60,12/11/2022,22501,22.1,4
61,12/10/2022,25528,22.48,3
62,12/9/2022,28985,22.56,3
63,12/8/2022,31824,23.12,3
64,12/7/2022,24741,23.8,4
65,12/6/2022,27433,23.79,3
66,12/5/2022,27000,23.81,3
67,12/4/2022,30700,23.82,3
68,12/3/2022,32510,23.89,3
69,12/2/2022,35403,23.95,3
70,12/1/2022,29225,24.06,3
71,11/30/2022,26958,24.16,3
72,11/29/2022,22341,25.33,4
73,11/28/2022,26549,29.08,3
74,11/27/2022,21968,26.51,4
75,11/26/2022,30703,23.94,3
76,11/25/2022,33370,24.41,3
77,11/24/2022,46435,21.63,2
78,11/23/2022,50201,21.59,2
79,11/22/2022,49063,22.53,2
80,11/21/2022,72073,28.64,1
81,11/20/2022,53908,28.8,2
82,11/19/2022,54731,22.28,2
83,11/18/2022,40632,22.26,2
84,11/17/2022,29725,22.25,3
85,11/16/2022,23729,22.24,4
86,11/15/2022,29705,22.23,3
87,11/14/2022,22280,22.23,4
88,11/13/2022,19552,22.29,5
