#,Date,Rank,Price,Sales
1,2/8/2023,10838,10.25,48
2,2/7/2023,12169,10.19,52
3,2/6/2023,13143,10.13,51
4,2/5/2023,13313,10.07,51
5,2/4/2023,11636,10.01,50
6,2/3/2023,11446,9.95,50
7,2/2/2023,12436,9.89,53
8,2/1/2023,12144,9.83,52
9,1/31/2023,11661,9.77,50
10,1/30/2023,12087,9.71,52
11,1/29/2023,10909,9.65,48
12,1/28/2023,10942,9.59,48
13,1/27/2023,11891,9.53,51
14,1/26/2023,10827,9.47,48
15,1/25/2023,10765,9.41,47
16,1/24/2023,11420,9.35,49
17,1/23/2023,12384,9.43,53
18,1/22/2023,12843,9.44,52
19,1/21/2023,12697,9.45,53
20,1/20/2023,13843,9.46,48
21,1/19/2023,12651,9.47,53
22,1/18/2023,13905,9.48,48
23,1/17/2023,14136,9.49,47
24,1/16/2023,15822,9.5,42
25,1/15/2023,15060,9.63,44
26,1/14/2023,14856,9.75,45
27,1/13/2023,13902,9.87,48
28,1/12/2023,13549,9.99,50
29,1/11/2023,13243,10.39,51
30,1/10/2023,13200,10.78,51
31,1/9/2023,13478,11.17,50
32,1/8/2023,13831,11.56,49
33,1/7/2023,14330,11.95,47
34,1/6/2023,14930,11.7,45
35,1/5/2023,15246,11.45,44
36,1/4/2023,14914,11.2,45
37,1/3/2023,15543,10.95,43
38,1/2/2023,16036,11.2,42
39,1/1/2023,16416,11.45,40
40,12/31/2022,14629,11.7,46
41,12/30/2022,13894,11.95,48
42,12/29/2022,13063,11.99,51
43,12/28/2022,13924,12.15,48
44,12/27/2022,13982,12.29,48
45,12/26/2022,12282,12.43,52
46,12/25/2022,10419,12.57,47
47,12/24/2022,9309,12.71,53
48,12/23/2022,8741,12.85,57
49,12/22/2022,7911,12.99,71
50,12/21/2022,7189,12.95,86
51,12/20/2022,5754,12.91,119
52,12/19/2022,4831,12.87,143
53,12/18/2022,3923,12.99,167
54,12/17/2022,3190,12.93,186
55,12/16/2022,3196,12.92,186
56,12/15/2022,3304,12.91,183
