#,Date,Rank,Price,Sales
1,2/8/2023,1349,35.21,361
2,2/7/2023,1368,35.21,357
3,2/6/2023,1533,35.21,322
4,2/5/2023,2086,35.21,271
5,2/4/2023,1996,35.21,277
6,2/3/2023,1468,35.21,336
7,2/2/2023,1353,35.21,360
8,2/1/2023,1396,35.21,351
9,1/31/2023,1528,35.21,323
10,1/30/2023,1767,35.21,295
11,1/29/2023,2170,35.21,264
12,1/28/2023,1982,35.21,279
13,1/27/2023,1587,35.21,311
14,1/26/2023,1533,35.21,322
15,1/25/2023,1590,35.21,310
16,1/24/2023,1570,35.21,314
17,1/23/2023,1738,35.21,297
18,1/22/2023,2222,35.21,260
19,1/21/2023,2091,35.21,270
20,1/20/2023,1651,35.21,304
21,1/19/2023,1552,35.21,318
22,1/18/2023,1472,35.39,335
23,1/17/2023,1517,35.23,325
24,1/16/2023,1993,35.08,278
25,1/15/2023,2299,34.93,254
26,1/14/2023,1949,34.78,281
27,1/13/2023,1300,34.63,372
28,1/12/2023,1263,34.48,379
29,1/11/2023,1189,33.74,395
30,1/10/2023,1148,33.03,404
31,1/9/2023,1186,32.32,396
32,1/8/2023,1259,31.61,380
33,1/7/2023,1332,30.9,365
34,1/6/2023,1385,30.19,354
35,1/5/2023,1450,30.56,340
36,1/4/2023,1592,30.75,310
37,1/3/2023,1653,30.93,304
38,1/2/2023,2130,31.11,267
39,1/1/2023,2471,31.29,241
40,12/31/2022,2256,31.47,258
41,12/30/2022,1897,31.65,285
42,12/29/2022,1957,31.83,280
43,12/28/2022,1998,31.66,277
44,12/27/2022,2103,31.5,269
45,12/26/2022,2554,33.39,235
46,12/25/2022,2292,32.89,255
47,12/24/2022,1818,32.42,291
48,12/23/2022,1644,31.95,304
49,12/22/2022,1621,31.48,306
50,12/21/2022,1686,31.98,301
51,12/20/2022,1777,32.48,294
52,12/19/2022,2017,32.98,276
53,12/18/2022,2054,33.48,273
54,12/17/2022,2004,33.98,277
55,12/16/2022,1865,34.48,288
56,12/15/2022,1841,34.98,289
57,12/14/2022,1762,34.17,295
58,12/13/2022,1685,33.37,301
59,12/12/2022,1801,33.93,292
60,12/11/2022,2220,31.34,260
61,12/10/2022,2047,31.48,274
62,12/9/2022,1551,30.87,318
63,12/8/2022,1336,30.27,364
64,12/7/2022,1464,31.84,337
65,12/6/2022,1515,33.41,326
66,12/5/2022,1648,34.98,304
67,12/4/2022,2116,30.43,268
68,12/3/2022,1990,30.44,278
69,12/2/2022,1644,30.44,304
70,12/1/2022,1586,30.44,311
71,11/30/2022,1694,32.61,301
72,11/29/2022,1960,35,280
73,11/28/2022,2615,36.1,230
74,11/27/2022,3131,34.06,191
75,11/26/2022,3262,32.03,184
76,11/25/2022,3446,30,179
77,11/24/2022,2739,33.13,221
78,11/23/2022,1921,34.62,283
79,11/22/2022,1706,36.1,300
80,11/21/2022,1752,36.05,296
81,11/20/2022,2238,36.02,259
82,11/19/2022,1852,35.99,289
83,11/18/2022,1503,35.96,328
84,11/17/2022,1387,35.93,353
85,11/16/2022,1368,35.9,357
86,11/15/2022,1563,35.87,316
87,11/14/2022,1794,35.84,293
88,11/13/2022,2201,35.81,262
89,11/12/2022,2355,35.78,250
90,11/11/2022,2413,35.75,246
91,11/10/2022,2509,35.72,238
92,11/9/2022,2360,35.69,250
93,11/8/2022,2541,35.66,236
94,11/7/2022,2542,35.63,236
95,11/6/2022,3638,35.6,174
96,11/5/2022,3120,35.57,191
97,11/4/2022,2454,35.54,242
98,11/3/2022,1881,35.51,286
99,11/2/2022,1535,35.48,322
100,11/1/2022,1493,35.45,331
101,10/31/2022,1637,35.42,305
102,10/30/2022,2005,35.39,277
103,10/29/2022,1944,35.01,281
104,10/28/2022,1428,34.95,344
105,10/27/2022,1287,34.89,374
106,10/26/2022,1304,34.83,371
107,10/25/2022,1339,34.77,363
108,10/24/2022,1429,34.85,344
109,10/23/2022,1831,34.93,290
110,10/22/2022,1724,35.01,298
111,10/21/2022,1348,35.09,361
112,10/20/2022,1253,35.17,382
113,10/19/2022,1325,35.12,366
114,10/18/2022,1362,35.1,358
115,10/17/2022,1408,35.08,349
116,10/16/2022,1958,35.06,280
117,10/15/2022,1882,35.04,286
