"Personal protective equipment business needs"
"Frequency: Occasional Monthly"
"Table: 13-10-0787-01"
"Release date: 2022-03-31"
"Geography: Canada, Geographical region of Canada, Province or territory"
""
""

"Geography","Canada",,,,
"North American Industry Classification System (NAICS)","All industries",,,,
"Business characteristics","December 2020","February 2021","May 2021","August 2021","January 2022"
,"Number",,,,
"Number of businesses needing Personal protective equipment (PPE) to operate in accordance with COVID-related public guidelines","653,431","652,303","596,516","600,044","555,889"
"Number of businesses not needing Personal protective equipment (PPE) to operate in accordance with COVID-related public guidelines","322,176","335,227","387,943","389,561","441,344"
"Number of businesses that don't know if they need Personal protective equipment (PPE) to operate in accordance with COVID-related public guidelines","F","F","0","F","F"
"Number of employees on payroll pre-COVID","9,583,049","9,391,644","8,660,436","8,861,929","8,532,251"
,"Percent",,,,
"Average percentage of full-time employees","69.16","73.21","73.98","74.85","73.50"
,"Number",,,,
"Estimated number of employees who worked on site","6,745,187","6,656,315","6,294,972","6,990,224","6,325,345"
"Estimated number of employees who will work on site 1 month after reference period","6,465,194","6,760,303","6,554,704","7,023,774","6,417,974"
"Estimated number of employees who will work on site 2 months after reference period","6,695,075","6,921,524","6,686,595","7,022,274","6,764,742"
"Estimated number of employees who will work on site 3 months after reference period","6,840,643","7,478,087","6,739,458","7,123,239","6,973,582"
"Estimated number of employees who will work on site 4 months after reference period","7,133,619","7,374,631","7,014,536","7,233,764","7,070,376"
"Number of businesses involved in manufacturing Personal protective equipment (PPE)","6,393","1,907","F","F","F"
"Number of businesses involved in distributing Personal protective equipment (PPE)","27,354","25,270","13,357","16,509","33,834"

Symbol legend:
E, use with caution
F, too unreliable to be published
A, data quality: excellent
C, data quality: good
D, data quality: acceptable




"How to cite: Statistics Canada. Table 13-10-0787-01  Personal protective equipment business needs"
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1310078701
