#,Date,Rank,Price,Sales
406,1/1/2022,4,30.99,392
41,1/1/2023,11,23.49,284
397,1/10/2022,9,37.63,300
32,1/10/2023,7,23.49,326
396,1/11/2022,7,37.51,326
31,1/11/2023,6,23.49,339
395,1/12/2022,5,37.39,352
30,1/12/2023,8,23.49,313
394,1/13/2022,5,37.27,352
29,1/13/2023,11,23.49,284
393,1/14/2022,4,37.15,392
28,1/14/2023,14,23.49,274
392,1/15/2022,5,36.99,352
27,1/15/2023,16,23.49,268
391,1/16/2022,6,35.99,339
26,1/16/2023,14,23.49,274
390,1/17/2022,6,36.99,339
25,1/17/2023,15,23.49,271
389,1/18/2022,11,36.99,284
24,1/18/2023,21,23.49,251
388,1/19/2022,13,36.83,277
23,1/19/2023,18,23.49,261
405,1/2/2022,5,32.99,352
40,1/2/2023,9,23.49,300
387,1/20/2022,15,36.67,271
22,1/20/2023,17,23.49,264
386,1/21/2022,18,36.51,261
21,1/21/2023,19,23.49,258
385,1/22/2022,20,36.35,254
20,1/22/2023,19,23.49,258
384,1/23/2022,21,36.19,251
19,1/23/2023,19,23.49,258
383,1/24/2022,20,35.99,254
18,1/24/2023,16,23.49,268
382,1/25/2022,17,35.89,264
17,1/25/2023,16,23.49,268
381,1/26/2022,15,35.79,271
16,1/26/2023,39,23.49,192
380,1/27/2022,15,35.69,271
15,1/27/2023,66,23.49,141
379,1/28/2022,19,35.56,258
14,1/28/2023,50,23.49,155
378,1/29/2022,21,36.27,251
13,1/29/2023,59,23.49,147
404,1/3/2022,7,34.99,326
39,1/3/2023,8,23.49,313
377,1/30/2022,23,36.99,244
12,1/30/2023,50,23.49,155
376,1/31/2022,23,37.99,244
11,1/31/2023,49,23.49,159
403,1/4/2022,12,35.49,281
38,1/4/2023,7,23.49,326
402,1/5/2022,16,35.99,268
37,1/5/2023,8,23.49,313
401,1/6/2022,15,36.99,271
36,1/6/2023,8,23.49,313
400,1/7/2022,9,37.99,300
35,1/7/2023,8,23.49,313
399,1/8/2022,14,37.87,274
34,1/8/2023,8,23.49,313
398,1/9/2022,12,37.75,281
33,1/9/2023,7,23.49,326
499,10/1/2021,25,34.11,238
134,10/1/2022,10,17.69,287
490,10/10/2021,18,34.99,261
125,10/10/2022,13,17.15,277
489,10/11/2021,30,34.99,221
124,10/11/2022,15,17.09,271
488,10/12/2021,21,34.74,251
123,10/12/2022,21,16.99,251
