#,Date,Rank,Price,Sales
1,2/10/2023,11007,15.99,1
2,2/9/2023,15909,15.99,0
3,2/8/2023,9969,15.99,2
4,2/7/2023,12005,15.99,1
5,2/6/2023,16486,15.99,0
6,2/5/2023,18010,15.99,0
7,2/4/2023,13408,15.99,1
8,2/3/2023,9074,15.99,2
9,2/2/2023,12668,15.99,1
10,2/1/2023,13536,15.99,1
11,1/31/2023,9245,15.99,2
12,1/30/2023,14007,15.99,0
13,1/29/2023,9494,15.99,2
14,1/28/2023,8307,15.99,3
15,1/27/2023,8992,15.99,2
16,1/26/2023,8466,15.99,2
17,1/25/2023,6490,15.99,4
18,1/24/2023,8258,15.99,3
19,1/23/2023,7866,15.99,3
20,1/22/2023,7201,15.99,3
21,1/21/2023,5925,15.99,4
22,1/20/2023,7057,15.99,3
23,1/19/2023,9729,15.99,2
24,1/18/2023,7500,15.99,3
25,1/17/2023,7848,15.99,3
26,1/16/2023,8196,15.99,3
27,1/15/2023,8283,15.99,3
28,1/14/2023,6048,15.99,4
29,1/13/2023,5445,15.99,5
30,1/12/2023,4801,15.99,6
31,1/11/2023,4674,15.99,6
32,1/10/2023,4776,15.99,6
33,1/9/2023,5342,15.99,5
34,1/8/2023,5337,15.99,5
35,1/7/2023,6091,15.99,4
36,1/6/2023,6194,15.99,4
37,1/5/2023,8508,15.99,2
38,1/4/2023,8978,15.99,2
39,1/3/2023,8633,15.99,2
40,1/2/2023,8497,15.99,2
41,1/1/2023,9570,15.99,2
42,12/31/2022,8150,15.99,3
43,12/30/2022,6732,15.99,4
44,12/29/2022,5314,15.99,5
45,12/28/2022,10688,15.99,2
46,12/27/2022,5068,15.99,5
47,12/26/2022,4867,15.99,6
48,12/25/2022,8742,15.99,2
49,12/24/2022,6588,15.99,4
50,12/23/2022,5785,15.99,5
51,12/22/2022,4913,15.99,6
52,12/21/2022,6937,15.99,3
53,12/20/2022,5253,15.99,5
54,12/19/2022,7318,15.99,3
55,12/18/2022,7411,15.99,3
56,12/17/2022,7109,15.99,3
57,12/16/2022,7399,15.99,3
58,12/15/2022,8410,15.99,2
59,12/14/2022,5408,15.99,5
60,12/13/2022,7207,15.99,3
61,12/12/2022,9115,15.99,2
62,12/11/2022,9342,15.99,2
63,12/10/2022,8255,15.99,3
