#,Date,Rank,Price,Sales
1,2/10/2023,1857,24.95,14
2,2/9/2023,2141,24.95,12
3,2/8/2023,2032,24.95,13
4,2/7/2023,1790,24.95,14
5,2/6/2023,2084,24.95,13
6,2/5/2023,1718,24.95,14
7,2/4/2023,1637,24.95,15
8,2/3/2023,1401,24.95,18
9,2/2/2023,1015,24.95,24
10,2/1/2023,1257,24.95,20
11,1/31/2023,1548,24.95,16
12,1/30/2023,1875,24.95,14
13,1/29/2023,1527,24.95,16
14,1/28/2023,1213,24.95,21
15,1/27/2023,1530,24.95,16
16,1/26/2023,1628,24.95,15
17,1/25/2023,1055,24.95,24
18,1/24/2023,1271,24.95,20
19,1/23/2023,1301,24.95,20
20,1/22/2023,1360,24.95,19
21,1/21/2023,1179,24.95,22
22,1/20/2023,1165,24.95,22
23,1/19/2023,1247,24.95,21
24,1/18/2023,1252,24.95,21
25,1/17/2023,1213,24.95,21
26,1/16/2023,945,24.95,26
27,1/15/2023,593,24.95,38
28,1/14/2023,565,22.36,39
29,1/13/2023,476,19.8,44
30,1/12/2023,380,17.24,50
31,1/11/2023,319,14.68,58
32,1/10/2023,362,12.12,53
33,1/9/2023,472,9.56,44
34,1/8/2023,517,7,42
35,1/7/2023,636,8.03,36
36,1/6/2023,766,8.97,30
37,1/5/2023,1024,9.91,24
38,1/4/2023,1186,10.85,22
39,1/3/2023,1552,11.79,16
40,1/2/2023,1834,12.73,14
41,1/1/2023,1702,13.67,14
42,12/31/2022,1354,14.61,19
43,12/30/2022,1407,15.55,18
44,12/29/2022,1043,16.49,24
45,12/28/2022,1874,17.43,14
46,12/27/2022,1978,18.37,13
47,12/26/2022,2093,19.31,13
48,12/25/2022,1331,20.25,19
49,12/24/2022,1133,21.19,22
50,12/23/2022,935,22.13,26
51,12/22/2022,881,23.07,27
52,12/21/2022,844,24.01,27
53,12/20/2022,833,24.95,27
54,12/19/2022,552,25.95,40
55,12/18/2022,566,26.95,39
56,12/17/2022,606,23.6,37
57,12/16/2022,608,20.28,37
58,12/15/2022,653,16.96,35
59,12/14/2022,913,13.64,26
60,12/13/2022,1504,10.32,16
61,12/12/2022,2318,7,12
62,12/11/2022,2569,24.95,10
63,12/10/2022,2472,24.95,11
64,12/9/2022,1703,24.95,14
65,12/8/2022,1661,24.95,15
66,12/7/2022,1184,24.95,22
67,12/6/2022,1701,24.95,14
68,12/5/2022,1788,24.95,14
69,12/4/2022,1715,25.35,14
70,12/3/2022,1958,25.51,13
71,12/2/2022,2226,25.67,12
72,12/1/2022,1942,25.83,13
73,11/30/2022,1976,25.99,13
74,11/29/2022,1620,26.15,15
75,11/28/2022,1895,26.31,14
76,11/27/2022,1641,26.47,15
77,11/26/2022,1308,26.63,20
78,11/25/2022,1589,26.79,15
79,11/24/2022,1869,26.95,14
80,11/23/2022,1801,27.11,14
81,11/22/2022,1916,27.27,13
82,11/21/2022,1550,27.43,16
83,11/20/2022,1457,27.59,17
84,11/19/2022,1493,27.75,17
85,11/18/2022,1220,27.91,21
86,11/17/2022,1218,28.07,21
87,11/16/2022,1048,28.23,24
88,11/15/2022,1077,28.39,23
89,11/14/2022,895,28.55,26
90,11/13/2022,1047,28.71,24
91,11/12/2022,1144,28.87,22
92,11/11/2022,1456,29.03,17
93,11/10/2022,1444,29.19,17
94,11/9/2022,1382,29.35,18
95,11/8/2022,1522,29.51,16
96,11/7/2022,1715,29.67,14
97,11/6/2022,2046,29.83,13
98,11/6/2022,2376,29.99,11
99,11/5/2022,2454,30.15,11
100,11/4/2022,2174,30.31,12
101,11/3/2022,2116,30.47,12
102,11/2/2022,2153,30.63,12
103,11/1/2022,1636,30.79,15
104,10/31/2022,1276,30.95,20
105,10/30/2022,1796,30.37,14
106,10/29/2022,1822,29.8,14
107,10/28/2022,1746,29.23,14
108,10/27/2022,1717,28.66,14
109,10/26/2022,1851,28.09,14
110,10/25/2022,1599,27.52,15
111,10/24/2022,1584,26.95,15
112,10/23/2022,1972,26.95,13
113,10/22/2022,1915,26.95,13
114,10/21/2022,1670,26.95,15
115,10/20/2022,2232,26.95,12
116,10/19/2022,2111,26.95,13
117,10/18/2022,1398,26.95,18
118,10/17/2022,1566,26.95,15
119,10/16/2022,1514,26.95,16
120,10/15/2022,1662,26.95,15
121,10/14/2022,1829,26.95,14
122,10/13/2022,2210,26.95,12
123,10/12/2022,2042,26.95,13
124,10/11/2022,1691,26.95,14
125,10/10/2022,1280,26.95,20
126,10/9/2022,1184,26.95,22
127,10/8/2022,1105,26.95,23
128,10/7/2022,1026,26.65,24
129,10/6/2022,1079,26.36,23
130,10/5/2022,968,26.07,25
131,10/4/2022,1046,25.78,24
132,10/3/2022,1242,25.49,21
133,10/2/2022,1350,25.2,19
134,10/1/2022,1308,24.91,20
135,9/30/2022,1707,24.62,14
136,9/29/2022,1511,24.33,16
137,9/28/2022,1293,24.04,20
138,9/27/2022,1070,23.75,24
139,9/26/2022,1022,23.46,24
140,9/25/2022,937,23.17,26
141,9/24/2022,1003,22.88,25
142,9/23/2022,1068,22.59,24
143,9/22/2022,851,22.3,27
144,9/21/2022,828,22.01,27
145,9/20/2022,832,21.72,27
146,9/19/2022,755,21.43,30
147,9/18/2022,812,21.14,28
148,9/17/2022,862,20.85,27
149,9/16/2022,757,20.56,30
150,9/15/2022,648,20.27,35
151,9/14/2022,776,19.98,29
152,9/13/2022,881,19.69,27
153,9/12/2022,890,19.4,26
154,9/11/2022,623,19.11,37
155,9/10/2022,543,18.82,40
156,9/9/2022,481,18.53,43
157,9/8/2022,586,18.24,38
158,9/7/2022,458,17.95,45
159,9/6/2022,464,18.22,44
160,9/5/2022,536,18.25,41
161,9/4/2022,529,18.28,41
162,9/3/2022,544,18.31,40
163,9/2/2022,460,18.34,45
164,9/1/2022,723,18.37,32
165,8/31/2022,686,18.4,33
166,8/30/2022,664,18.43,35
167,8/29/2022,679,18.46,34
168,8/28/2022,744,18.49,31
169,8/27/2022,848,18.52,27
170,8/26/2022,745,18.55,31
171,8/25/2022,755,18.58,30
172,8/24/2022,660,18.61,35
173,8/23/2022,735,18.64,31
174,8/22/2022,809,18.67,28
175,8/21/2022,1017,18.7,24
176,8/20/2022,1009,18.73,25
177,8/19/2022,1017,18.76,24
178,8/18/2022,876,18.79,27
179,8/17/2022,1096,18.82,23
180,8/16/2022,997,18.85,25
181,8/15/2022,1186,18.88,22
182,8/14/2022,1202,18.91,21
183,8/13/2022,1059,18.94,24
184,8/12/2022,1094,18.97,23
185,8/11/2022,1074,19,23
186,8/10/2022,935,19.03,26
187,8/9/2022,867,19.06,27
188,8/8/2022,1145,19.09,22
189,8/7/2022,967,19.12,25
190,8/6/2022,977,19.15,25
191,8/5/2022,1117,19.18,23
192,8/4/2022,1026,19.21,24
193,8/3/2022,1123,19.24,23
194,8/2/2022,837,19.27,27
195,8/1/2022,1004,19.3,25
196,7/31/2022,952,19.33,25
197,7/30/2022,532,19.36,41
198,7/29/2022,277,19.39,64
199,7/28/2022,315,19.42,59
200,7/27/2022,347,19.45,55
201,7/26/2022,349,19.48,54
202,7/25/2022,352,19.51,54
203,7/24/2022,396,19.54,48
204,7/23/2022,440,19.57,45
205,7/22/2022,459,19.6,45
206,7/21/2022,549,19.63,40
207,7/20/2022,615,19.66,37
208,7/19/2022,646,19.69,35
209,7/18/2022,614,19.72,37
210,7/17/2022,610,19.75,37
211,7/16/2022,606,19.78,37
212,7/15/2022,729,19.81,31
213,7/14/2022,984,19.84,25
214,7/13/2022,1184,19.87,22
215,7/12/2022,1037,19.9,24
216,7/11/2022,1118,19.93,23
217,7/10/2022,1000,19.96,25
218,7/9/2022,1070,19.99,24
219,7/8/2022,1340,20.02,19
220,7/7/2022,1380,20.05,18
221,7/6/2022,1337,20.08,19
222,7/5/2022,1231,20.11,21
223,7/4/2022,1083,20.14,23
224,7/3/2022,936,20.17,26
225,7/2/2022,1166,20.2,22
226,7/1/2022,913,20.23,26
227,6/30/2022,654,20.26,35
228,6/29/2022,627,20.29,36
229,6/28/2022,655,20.32,35
230,6/27/2022,877,20.35,27
231,6/26/2022,851,20.38,27
