#,Date,Rank,Price,Sales
1,2/10/2023,3976,27.95,7
2,2/9/2023,4090,27.95,6
3,2/8/2023,2951,27.95,9
4,2/7/2023,2977,27.95,8
5,2/6/2023,3597,27.95,7
6,2/5/2023,3500,27.95,7
7,2/4/2023,2015,27.95,13
8,2/3/2023,3073,27.95,8
9,2/2/2023,3422,27.95,7
10,2/1/2023,3632,27.95,7
11,1/31/2023,3822,27.95,7
12,1/30/2023,3710,27.95,7
13,1/29/2023,2934,27.95,9
14,1/28/2023,2612,27.95,10
15,1/27/2023,2358,27.95,11
16,1/26/2023,2776,27.95,9
17,1/25/2023,3194,27.95,7
18,1/24/2023,3356,27.95,7
19,1/23/2023,3095,27.95,8
20,1/22/2023,4831,27.95,6
21,1/21/2023,4161,27.95,6
22,1/20/2023,3245,27.95,7
23,1/19/2023,2595,27.95,10
24,1/18/2023,3201,27.95,7
25,1/17/2023,3250,27.95,7
26,1/16/2023,2222,27.95,12
27,1/15/2023,2211,27.95,12
28,1/14/2023,2501,27.95,11
29,1/13/2023,1945,27.95,13
30,1/12/2023,1375,27.95,19
31,1/11/2023,1656,27.95,15
32,1/10/2023,1809,27.95,14
33,1/9/2023,1816,27.95,14
34,1/8/2023,1866,27.95,14
35,1/7/2023,1788,27.95,14
36,1/6/2023,1937,27.95,13
37,1/5/2023,2170,27.95,12
38,1/4/2023,2291,27.95,12
39,1/3/2023,1842,27.95,14
40,1/2/2023,1777,27.95,14
41,1/1/2023,2381,27.95,11
42,12/31/2022,2172,27.95,12
43,12/30/2022,2499,27.95,11
44,12/29/2022,2395,27.95,11
45,12/28/2022,2355,27.95,11
46,12/27/2022,2582,27.95,10
47,12/26/2022,3228,27.95,7
48,12/25/2022,2724,27.95,10
49,12/24/2022,2592,27.95,10
50,12/23/2022,2386,27.95,11
51,12/22/2022,1746,27.95,14
52,12/21/2022,1502,27.95,16
53,12/20/2022,1203,27.95,21
54,12/19/2022,1326,27.95,19
55,12/18/2022,2315,27.95,12
56,12/17/2022,5464,23.75,5
57,12/16/2022,10609,23.75,2
58,12/15/2022,8628,23.75,2
59,12/14/2022,6647,23.75,4
60,12/13/2022,4666,23.75,6
61,12/12/2022,2685,23.75,10
62,12/11/2022,3164,24.15,8
63,12/10/2022,2309,24.53,12
64,12/9/2022,2939,24.91,9
65,12/8/2022,2853,25.29,9
66,12/7/2022,2885,25.67,9
67,12/6/2022,2809,26.05,9
68,12/5/2022,3007,26.43,8
69,12/4/2022,2571,26.81,10
70,12/3/2022,2933,27.19,9
71,12/2/2022,2850,27.57,9
72,12/1/2022,2940,27.95,9
73,11/30/2022,2568,28.44,10
74,11/29/2022,2406,28.85,11
75,11/28/2022,1835,29.26,14
76,11/27/2022,2243,29.67,12
77,11/26/2022,2181,30.08,12
78,11/25/2022,1834,30.49,14
79,11/24/2022,2233,30.9,12
80,11/23/2022,2459,31.31,11
81,11/22/2022,1771,31.72,14
82,11/21/2022,1634,32.13,15
83,11/20/2022,1682,32.54,15
84,11/19/2022,1656,32.95,15
85,11/18/2022,1136,33.95,22
86,11/17/2022,964,34.95,25
87,11/16/2022,613,35.95,37
88,11/15/2022,471,36.95,44
89,11/14/2022,297,37.95,61
90,11/13/2022,622,35.95,37
91,11/12/2022,1114,34.95,23
92,11/11/2022,989,33.95,25
93,11/10/2022,777,32.95,29
94,11/9/2022,1478,32.71,17
95,11/8/2022,1869,32.54,14
96,11/7/2022,2947,32.37,9
97,11/6/2022,2436,32.2,11
98,11/6/2022,2448,32.03,11
99,11/5/2022,1915,31.86,13
100,11/4/2022,1942,31.69,13
101,11/3/2022,2163,31.52,12
102,11/2/2022,2033,31.35,13
103,11/1/2022,2036,31.18,13
104,10/31/2022,2429,31.01,11
105,10/30/2022,2305,30.84,12
106,10/29/2022,1908,30.67,13
107,10/28/2022,1814,30.5,14
108,10/27/2022,2517,30.33,11
109,10/26/2022,2714,30.16,10
110,10/25/2022,2605,29.99,10
111,10/24/2022,2680,29.82,10
112,10/23/2022,3141,29.65,8
113,10/22/2022,2633,29.48,10
114,10/21/2022,2394,29.31,11
115,10/20/2022,2580,29.14,10
116,10/19/2022,2575,28.97,10
117,10/18/2022,2507,28.8,11
118,10/17/2022,2714,28.63,10
119,10/16/2022,2704,28.46,10
120,10/15/2022,2743,28.29,10
121,10/14/2022,3138,28.12,8
122,10/13/2022,3113,27.95,8
123,10/12/2022,2798,28.63,9
124,10/11/2022,3503,29.29,7
125,10/10/2022,2519,29.95,11
126,10/9/2022,2867,29.51,9
127,10/8/2022,3372,29.48,7
128,10/7/2022,4357,29.45,6
129,10/6/2022,7466,29.42,3
130,10/5/2022,5526,29.39,5
131,10/4/2022,4842,29.36,6
132,10/3/2022,4390,29.33,6
133,10/2/2022,3482,29.3,7
134,10/1/2022,3621,29.27,7
135,9/30/2022,4616,29.24,6
136,9/29/2022,3840,29.21,7
137,9/28/2022,2749,29.18,10
138,9/27/2022,2208,29.15,12
139,9/26/2022,3338,29.12,7
140,9/25/2022,2622,29.09,10
141,9/24/2022,2625,29.06,10
142,9/23/2022,2627,29.03,10
143,9/22/2022,3191,29,7
144,9/21/2022,3856,28.97,7
145,9/20/2022,4520,28.94,6
146,9/19/2022,2807,28.91,9
147,9/18/2022,3203,28.88,7
148,9/17/2022,2027,28.85,13
149,9/16/2022,2642,28.82,10
150,9/15/2022,2426,28.79,11
151,9/14/2022,4729,28.76,6
152,9/13/2022,10057,28.73,2
153,9/12/2022,9970,28.7,2
154,9/11/2022,18714,28.67,0
155,9/10/2022,13673,28.64,1
156,9/9/2022,10956,28.61,2
157,9/8/2022,11787,28.58,1
158,9/7/2022,12224,28.55,1
159,9/6/2022,13833,28.52,0
160,9/5/2022,7316,28.49,3
161,9/4/2022,13283,28.46,1
162,9/3/2022,8115,28.43,3
163,9/2/2022,9829,28.4,2
164,9/1/2022,8899,28.37,2
165,8/31/2022,9037,28.34,2
166,8/30/2022,7272,28.31,3
167,8/29/2022,8571,28.28,2
168,8/28/2022,10666,28.25,2
169,8/27/2022,12917,28.22,1
170,8/26/2022,16506,28.19,0
171,8/25/2022,13749,28.16,0
172,8/24/2022,14415,28.13,0
173,8/23/2022,13345,28.1,1
174,8/22/2022,12932,28.07,1
175,8/21/2022,12520,28.04,1
176,8/20/2022,9671,28.01,2
177,8/19/2022,14425,27.98,0
178,8/18/2022,15661,27.95,0
179,8/17/2022,31216,28.3,0
180,8/16/2022,27801,28.63,0
181,8/15/2022,24784,28.96,0
182,8/14/2022,21768,29.29,0
183,8/13/2022,24362,29.62,0
184,8/12/2022,26956,29.95,0
185,8/11/2022,25599,28.2,0
186,8/10/2022,29057,26.45,0
187,8/9/2022,29764,24.7,0
188,8/8/2022,30470,22.95,0
189,8/7/2022,30134,21.7,0
190,8/6/2022,29799,20.45,0
191,8/5/2022,29464,19.2,0
192,8/4/2022,30328,17.95,0
193,8/3/2022,30211,17.95,0
194,8/2/2022,29978,17.95,0
195,8/1/2022,28237,17.95,0
196,7/31/2022,27952,17.95,0
197,7/30/2022,18503,17.95,0
198,7/29/2022,10519,17.95,2
199,7/28/2022,11616,17.95,1
200,7/27/2022,12248,18.15,1
201,7/26/2022,11140,18.27,1
202,7/25/2022,11886,18.39,1
203,7/24/2022,12632,18.51,1
204,7/23/2022,12703,18.63,1
205,7/22/2022,12773,18.75,1
206,7/21/2022,13807,18.87,0
207,7/20/2022,14026,18.99,0
