#,Date,Rank,Price,Sales
1,2/10/2023,6463,13.99,0
2,2/9/2023,3813,13.99,1
3,2/8/2023,3960,13.99,1
4,2/7/2023,4106,13.99,1
5,2/6/2023,6190,13.99,1
6,2/5/2023,6599,13.99,0
7,2/4/2023,6607,13.99,0
8,2/3/2023,4940,13.99,1
9,2/2/2023,4724,14.15,1
10,2/1/2023,4815,14.18,1
11,1/31/2023,4906,14.21,1
12,1/30/2023,4997,14.24,1
13,1/29/2023,6098,14.27,1
14,1/28/2023,6240,14.3,1
15,1/27/2023,6381,14.33,0
16,1/26/2023,6166,14.36,1
17,1/25/2023,5952,14.39,1
18,1/24/2023,6443,14.42,0
19,1/23/2023,6862,14.45,0
20,1/22/2023,7280,14.48,0
21,1/21/2023,6941,14.51,0
22,1/20/2023,4937,14.54,1
23,1/19/2023,5357,14.57,1
24,1/18/2023,5065,14.6,1
25,1/17/2023,5082,14.63,1
26,1/16/2023,3852,14.66,1
27,1/15/2023,4431,14.69,1
28,1/14/2023,5009,14.72,1
29,1/13/2023,5201,14.75,1
30,1/12/2023,5147,14.78,1
31,1/11/2023,5094,14.81,1
32,1/10/2023,5188,14.84,1
33,1/9/2023,5281,14.87,1
34,1/8/2023,5046,14.9,1
35,1/7/2023,5500,14.93,1
36,1/6/2023,5140,14.96,1
37,1/5/2023,4780,14.99,1
38,1/4/2023,4792,14.89,1
39,1/3/2023,4804,14.83,1
40,1/2/2023,3940,14.77,1
41,1/1/2023,8395,14.71,0
42,12/31/2022,9896,14.65,0
43,12/30/2022,11397,14.59,0
44,12/29/2022,7615,14.53,0
45,12/28/2022,7827,14.47,0
46,12/27/2022,8916,14.41,0
47,12/26/2022,10005,14.35,0
48,12/25/2022,9563,14.29,0
49,12/24/2022,6190,14.23,1
50,12/23/2022,6778,14.17,0
51,12/22/2022,9680,14.11,0
52,12/21/2022,10748,14.05,0
53,12/20/2022,9139,13.99,0
54,12/19/2022,7531,14.99,0
55,12/18/2022,6543,15.15,0
56,12/17/2022,5555,15.29,1
57,12/16/2022,6113,15.43,1
58,12/15/2022,6025,15.57,1
59,12/14/2022,3550,15.71,1
60,12/13/2022,4288,15.85,1
61,12/12/2022,5026,15.99,1
62,12/11/2022,5870,16.24,1
63,12/10/2022,5235,16.49,1
64,12/9/2022,4315,16.74,1
65,12/8/2022,3396,16.99,1
66,12/7/2022,3476,20.49,1
67,12/6/2022,3555,23.99,1
68,12/5/2022,3542,23.99,1
69,12/4/2022,3530,23.99,1
70,12/3/2022,3722,23.99,1
71,12/2/2022,4098,23.99,1
72,12/1/2022,3186,23.99,1
73,11/30/2022,3742,23.99,1
74,11/29/2022,4297,23.99,1
75,11/28/2022,4852,23.99,1
76,11/27/2022,5407,23.99,1
77,11/26/2022,8327,23.99,0
78,11/25/2022,7030,23.99,0
79,11/24/2022,7379,23.99,0
80,11/23/2022,7101,23.99,0
81,11/22/2022,5007,23.99,1
82,11/21/2022,3598,23.99,1
83,11/20/2022,3245,23.99,1
84,11/19/2022,4527,23.99,1
85,11/18/2022,3353,23.99,1
86,11/17/2022,2193,23.99,2
87,11/16/2022,1320,23.99,3
88,11/15/2022,876,23.99,4
89,11/14/2022,747,23.99,4
