#,Date,Rank,Price,Sales
1,2/10/2023,5477,17.99,5
2,2/9/2023,6529,17.99,4
3,2/8/2023,4905,17.99,6
4,2/7/2023,4572,17.99,6
5,2/6/2023,4129,17.99,6
6,2/5/2023,4365,17.99,6
7,2/4/2023,4143,17.99,6
8,2/3/2023,4585,17.99,6
9,2/2/2023,4574,17.99,6
10,2/1/2023,4816,17.99,6
11,1/31/2023,4210,17.99,6
12,1/30/2023,3572,17.99,7
13,1/29/2023,3883,17.99,7
14,1/28/2023,3727,17.99,7
15,1/27/2023,3811,17.99,7
16,1/26/2023,3452,17.99,7
17,1/25/2023,3094,17.99,8
18,1/24/2023,3378,17.99,7
19,1/23/2023,4145,17.99,6
20,1/22/2023,5456,17.99,5
21,1/21/2023,5630,17.99,5
22,1/20/2023,5480,17.99,5
23,1/19/2023,3787,17.99,7
24,1/18/2023,3637,17.99,7
25,1/17/2023,3680,17.99,7
26,1/16/2023,3421,17.99,7
27,1/15/2023,3811,17.99,7
28,1/14/2023,3950,17.99,7
29,1/13/2023,2836,17.99,9
30,1/12/2023,2396,17.99,11
31,1/11/2023,2441,17.99,11
32,1/10/2023,2485,17.99,11
33,1/9/2023,2387,17.99,11
34,1/8/2023,2443,18.42,11
35,1/7/2023,2358,18.84,11
36,1/6/2023,2362,19.26,11
37,1/5/2023,2240,19.39,12
38,1/4/2023,2141,19.49,12
39,1/3/2023,2856,19.59,9
40,1/2/2023,2613,19.69,10
41,1/1/2023,2680,19.79,10
42,12/31/2022,3695,19.89,7
43,12/30/2022,3254,19.99,7
44,12/29/2022,2594,19.11,10
45,12/28/2022,3009,19.1,8
46,12/27/2022,3734,19.09,7
47,12/26/2022,5486,19.08,5
48,12/25/2022,5462,19.07,5
49,12/24/2022,4363,19.06,6
50,12/23/2022,3264,19.05,7
51,12/22/2022,3423,19.04,7
52,12/21/2022,3587,19.03,7
53,12/20/2022,3211,19.02,7
54,12/19/2022,3589,19.01,7
55,12/18/2022,3211,19,7
56,12/17/2022,3058,18.99,8
57,12/16/2022,3507,18.98,7
58,12/15/2022,3809,18.97,7
59,12/14/2022,3348,18.96,7
60,12/13/2022,3247,18.95,7
61,12/12/2022,3089,18.94,8
62,12/11/2022,3589,18.93,7
63,12/10/2022,4118,18.92,6
64,12/9/2022,3057,18.91,8
65,12/8/2022,2669,18.9,10
66,12/7/2022,3167,18.89,8
67,12/6/2022,3367,18.88,7
68,12/5/2022,2893,18.87,9
69,12/4/2022,2524,18.86,11
70,12/3/2022,4033,18.85,7
71,12/2/2022,4305,18.84,6
72,12/1/2022,3515,18.83,7
73,11/30/2022,3576,18.82,7
74,11/29/2022,2702,18.81,10
75,11/28/2022,2990,18.8,8
76,11/27/2022,2764,18.79,9
77,11/26/2022,3156,18.78,8
78,11/25/2022,2183,18.77,12
79,11/24/2022,2161,18.76,12
80,11/23/2022,2564,18.75,10
81,11/22/2022,2429,18.74,11
82,11/21/2022,2561,18.73,10
83,11/20/2022,2034,18.72,13
84,11/19/2022,1754,18.71,14
85,11/18/2022,1658,18.7,15
86,11/17/2022,1246,18.69,21
87,11/16/2022,1202,18.68,21
88,11/15/2022,1160,18.67,22
89,11/14/2022,1074,18.66,23
90,11/13/2022,1470,18.65,17
91,11/12/2022,2128,18.64,12
92,11/11/2022,1754,18.63,14
93,11/10/2022,2344,18.62,11
94,11/9/2022,3847,18.61,7
95,11/8/2022,3687,18.6,7
96,11/7/2022,4873,18.59,6
97,11/6/2022,4142,18.58,6
98,11/6/2022,3869,18.57,7
99,11/5/2022,4316,18.56,6
100,11/4/2022,3430,18.55,7
101,11/3/2022,3095,18.54,8
102,11/2/2022,3265,18.53,7
103,11/1/2022,3488,18.52,7
104,10/31/2022,2697,18.51,10
105,10/30/2022,3940,18.5,7
106,10/29/2022,4274,18.49,6
107,10/28/2022,3875,18.48,7
108,10/27/2022,3977,18.47,7
109,10/26/2022,3632,18.46,7
110,10/25/2022,4117,18.45,6
111,10/24/2022,3621,18.44,7
112,10/23/2022,5309,18.43,5
113,10/22/2022,4374,18.42,6
114,10/21/2022,3744,18.41,7
115,10/20/2022,4264,18.4,6
116,10/19/2022,4338,18.39,6
117,10/18/2022,3937,18.38,7
118,10/17/2022,3631,18.37,7
119,10/16/2022,2728,18.36,10
120,10/15/2022,3390,18.35,7
121,10/14/2022,3836,18.34,7
122,10/13/2022,3468,18.33,7
123,10/12/2022,4198,18.32,6
124,10/11/2022,4771,18.31,6
125,10/10/2022,3957,18.3,7
126,10/9/2022,3911,18.29,7
127,10/8/2022,4609,18.28,6
128,10/7/2022,4982,18.27,6
129,10/6/2022,4739,18.26,6
130,10/5/2022,4956,18.25,6
131,10/4/2022,3917,18.24,7
132,10/3/2022,4203,18.23,6
133,10/2/2022,3740,18.22,7
134,10/1/2022,4252,18.21,6
135,9/30/2022,3659,18.2,7
136,9/29/2022,3661,18.19,7
137,9/28/2022,3123,18.18,8
138,9/27/2022,3335,18.17,7
139,9/26/2022,3761,18.16,7
140,9/25/2022,3674,18.15,7
141,9/24/2022,4326,18.14,6
142,9/23/2022,3403,18.13,7
143,9/22/2022,3527,18.12,7
144,9/21/2022,3606,18.11,7
145,9/20/2022,4018,18.1,7
146,9/19/2022,4170,18.09,6
147,9/18/2022,3535,18.08,7
148,9/17/2022,4720,18.07,6
149,9/16/2022,4895,18.06,6
