#,Date,Rank,Price,Sales
1,2/10/2023,8267,15.99,3
2,2/9/2023,8746,15.99,2
3,2/8/2023,8355,15.99,2
4,2/7/2023,13473,15.99,1
5,2/6/2023,9456,16.84,2
6,2/5/2023,9156,16.89,2
7,2/4/2023,8858,16.94,2
8,2/3/2023,8560,16.99,2
9,2/2/2023,10931,17.04,2
10,2/1/2023,13301,17.09,1
11,1/31/2023,9909,17.14,2
12,1/30/2023,11121,17.19,1
13,1/29/2023,10825,17.24,2
14,1/28/2023,10529,17.29,2
15,1/27/2023,10233,17.34,2
16,1/26/2023,9802,17.39,2
17,1/25/2023,9372,17.44,2
18,1/24/2023,7058,17.49,3
19,1/23/2023,7579,17.54,3
20,1/22/2023,8099,17.59,3
21,1/21/2023,9101,17.64,2
22,1/20/2023,8576,17.69,2
23,1/19/2023,8051,17.74,3
24,1/18/2023,7526,17.79,3
25,1/17/2023,9407,17.84,2
26,1/16/2023,11287,17.89,1
27,1/15/2023,9230,17.94,2
28,1/14/2023,7174,17.99,3
29,1/13/2023,5657,18.04,5
30,1/12/2023,4141,18.09,6
31,1/11/2023,2625,18.14,10
32,1/10/2023,3434,18.19,7
33,1/9/2023,4242,18.24,6
34,1/8/2023,4444,18.29,6
35,1/7/2023,4646,18.34,6
36,1/6/2023,4940,18.39,6
37,1/5/2023,5234,18.44,5
38,1/4/2023,5734,18.49,5
39,1/3/2023,6234,18.54,4
40,1/2/2023,6372,18.59,4
41,1/1/2023,8667,18.64,2
42,12/31/2022,10961,18.69,2
43,12/30/2022,6995,18.74,3
44,12/29/2022,10374,18.79,2
45,12/28/2022,13753,18.84,0
46,12/27/2022,11324,18.89,1
47,12/26/2022,9294,18.94,2
48,12/25/2022,7265,18.99,3
49,12/24/2022,7139,19.04,3
50,12/23/2022,7014,19.09,3
51,12/22/2022,6889,19.14,3
52,12/21/2022,6250,19.19,4
53,12/20/2022,5499,19.24,5
54,12/19/2022,5865,19.29,5
55,12/18/2022,6641,19.34,4
56,12/17/2022,7416,19.39,3
57,12/16/2022,8352,19.44,2
58,12/15/2022,7239,19.49,3
59,12/14/2022,6127,19.54,4
60,12/13/2022,5997,19.59,4
61,12/12/2022,5867,19.64,5
62,12/11/2022,4888,19.69,6
63,12/10/2022,5215,19.74,5
64,12/9/2022,4137,19.79,6
65,12/8/2022,4045,19.84,7
66,12/7/2022,3806,19.89,7
67,12/6/2022,3567,19.94,7
68,12/5/2022,3459,19.99,7
69,12/4/2022,3351,20.04,7
70,12/3/2022,3989,20.09,7
71,12/2/2022,5114,20.14,5
72,12/1/2022,3697,20.19,7
73,11/30/2022,5056,20.24,5
74,11/29/2022,4293,20.29,6
75,11/28/2022,3530,20.34,7
76,11/27/2022,3230,20.39,7
77,11/26/2022,3828,20.44,7
78,11/25/2022,4005,20.49,7
79,11/24/2022,3107,20.54,8
80,11/23/2022,2468,20.59,11
81,11/22/2022,1951,20.64,13
82,11/21/2022,2299,20.69,12
83,11/20/2022,2634,20.74,10
84,11/19/2022,2468,20.79,11
85,11/18/2022,2104,20.84,13
86,11/17/2022,1755,20.89,14
87,11/16/2022,1082,20.94,23
88,11/15/2022,1049,20.99,24
89,11/14/2022,874,23.99,27
90,11/13/2022,1088,17.99,23
91,11/12/2022,1265,17.39,20
92,11/11/2022,1110,17.35,23
93,11/10/2022,1380,17.31,18
94,11/9/2022,2585,17.27,10
95,11/8/2022,5211,17.23,5
96,11/7/2022,7836,17.19,3
97,11/6/2022,8148,17.15,3
98,11/6/2022,4685,17.11,6
99,11/5/2022,4451,17.07,6
100,11/4/2022,5454,17.03,5
101,11/3/2022,5849,16.99,5
102,11/2/2022,6244,16.95,4
103,11/1/2022,7276,16.91,3
104,10/31/2022,6045,16.87,4
105,10/30/2022,4815,16.83,6
106,10/29/2022,3585,16.79,7
107,10/28/2022,5819,16.75,5
108,10/27/2022,4083,16.71,6
109,10/26/2022,4868,16.67,6
110,10/25/2022,5652,16.63,5
111,10/24/2022,6666,16.59,4
112,10/23/2022,8752,16.55,2
113,10/22/2022,8032,16.51,3
114,10/21/2022,6593,16.47,4
115,10/20/2022,5154,16.43,5
116,10/19/2022,3715,16.39,7
117,10/18/2022,4696,16.35,6
118,10/17/2022,6160,16.31,4
119,10/16/2022,7624,16.27,3
120,10/15/2022,5470,16.23,5
121,10/14/2022,5502,16.19,5
122,10/13/2022,5533,16.15,5
123,10/12/2022,9480,16.11,2
124,10/11/2022,13427,16.07,1
125,10/10/2022,11730,16.03,1
126,10/9/2022,10035,15.99,2
127,10/8/2022,8340,15.95,2
128,10/7/2022,3911,15.91,7
129,10/6/2022,10635,15.87,2
130,10/5/2022,8286,15.83,3
131,10/4/2022,5938,15.79,4
132,10/3/2022,5860,15.75,5
133,10/2/2022,5784,15.71,5
134,10/1/2022,5708,15.67,5
135,9/30/2022,7229,15.63,3
136,9/29/2022,6653,15.59,4
137,9/28/2022,6334,15.55,4
138,9/27/2022,6129,15.51,4
139,9/26/2022,5925,15.47,4
140,9/25/2022,4214,15.43,6
141,9/24/2022,4689,15.39,6
142,9/23/2022,5164,15.35,5
143,9/22/2022,3772,15.31,7
144,9/21/2022,4478,15.27,6
145,9/20/2022,4328,15.23,6
146,9/19/2022,4179,15.19,6
147,9/18/2022,4030,15.15,7
148,9/17/2022,4416,15.11,6
149,9/16/2022,4802,15.07,6
150,9/15/2022,2810,15.03,9
151,9/14/2022,3083,14.99,8
152,9/13/2022,2908,14.95,9
153,9/12/2022,3158,14.91,8
154,9/11/2022,3471,14.87,7
155,9/10/2022,4025,14.83,7
156,9/9/2022,2857,14.79,9
157,9/8/2022,2232,14.75,12
158,9/7/2022,1641,14.71,15
159,9/6/2022,1050,14.67,24
160,9/5/2022,1073,14.63,23
161,9/4/2022,1415,14.59,18
162,9/3/2022,1372,14.55,19
163,9/2/2022,1208,14.51,21
164,9/1/2022,1421,14.47,18
165,8/31/2022,1184,14.43,22
166,8/30/2022,1522,14.39,16
167,8/29/2022,1145,14.35,22
168,8/28/2022,2417,14.31,11
169,8/27/2022,2956,14.27,9
170,8/26/2022,3797,14.23,7
171,8/25/2022,2467,14.19,11
172,8/24/2022,3611,14.15,7
173,8/23/2022,3357,14.11,7
174,8/22/2022,3103,14.07,8
175,8/21/2022,5122,14.03,5
176,8/20/2022,5753,13.99,5
177,8/19/2022,9673,14.41,2
178,8/18/2022,13592,14.72,1
179,8/17/2022,9301,15.03,2
180,8/16/2022,6563,15.34,4
181,8/15/2022,8521,15.65,2
182,8/14/2022,7685,15.96,3
183,8/13/2022,9416,16.27,2
184,8/12/2022,11145,16.58,1
185,8/11/2022,12874,16.89,1
186,8/10/2022,9267,17.2,2
187,8/9/2022,7988,17.51,3
188,8/8/2022,4623,17.82,6
189,8/7/2022,14558,18.13,0
190,8/6/2022,13723,18.44,1
191,8/5/2022,12889,18.75,1
192,8/4/2022,10717,19.06,2
193,8/3/2022,8951,19.37,2
194,8/2/2022,7185,19.68,3
195,8/1/2022,12078,19.99,1
196,7/31/2022,9725,21.01,2
197,7/30/2022,7373,21.03,3
198,7/29/2022,5021,21.05,5
199,7/28/2022,5508,21.07,5
200,7/27/2022,5994,21.09,4
201,7/26/2022,5991,21.11,4
202,7/25/2022,5988,21.13,4
203,7/24/2022,5958,21.15,4
204,7/23/2022,6805,21.17,4
205,7/22/2022,7651,21.19,3
206,7/21/2022,7472,21.21,3
207,7/20/2022,7293,21.23,3
208,7/19/2022,7114,21.25,3
209,7/18/2022,8900,21.27,2
210,7/17/2022,10685,21.29,2
211,7/16/2022,10096,21.31,2
212,7/15/2022,9508,21.33,2
213,7/14/2022,12654,21.35,1
214,7/13/2022,12692,21.37,1
215,7/12/2022,14940,21.39,0
216,7/11/2022,9694,21.41,2
217,7/10/2022,17188,21.43,0
218,7/9/2022,16797,21.45,0
219,7/8/2022,16408,21.47,0
220,7/7/2022,16019,21.49,0
221,7/6/2022,16492,21.51,0
222,7/5/2022,16964,21.53,0
223,7/4/2022,15397,21.55,0
224,7/3/2022,13832,21.57,0
225,7/2/2022,12267,21.59,1
226,7/1/2022,14247,21.61,0
227,6/30/2022,12337,21.63,1
228,6/29/2022,10427,21.65,2
229,6/28/2022,11199,21.67,1
230,6/27/2022,11455,21.69,1
231,6/26/2022,10707,21.71,2
232,6/25/2022,9960,21.73,2
233,6/24/2022,9423,21.75,2
234,6/23/2022,14710,21.77,0
235,6/22/2022,19997,21.79,0
236,6/21/2022,17767,21.81,0
237,6/20/2022,15538,21.83,0
238,6/19/2022,13479,21.85,1
239,6/18/2022,11422,21.87,1
240,6/17/2022,9365,21.89,2
