#,Date,Rank,Price,Sales
1,2/10/2023,7564,13.89,3
2,2/9/2023,8753,13.89,2
3,2/8/2023,9941,13.89,2
4,2/7/2023,12518,13.89,1
5,2/6/2023,15095,13.89,0
6,2/5/2023,17672,13.89,0
7,2/4/2023,13719,13.89,1
8,2/3/2023,9766,13.89,2
9,2/2/2023,19397,13.89,0
10,2/1/2023,13967,13.89,0
11,1/31/2023,13676,13.89,1
12,1/30/2023,14071,13.89,0
13,1/29/2023,14466,13.89,0
14,1/28/2023,12547,13.89,1
15,1/27/2023,12616,13.89,1
16,1/26/2023,12684,13.89,1
17,1/25/2023,10996,13.89,2
18,1/24/2023,9309,13.89,2
19,1/23/2023,10846,13.89,2
20,1/22/2023,12381,13.89,1
21,1/21/2023,13916,13.89,0
22,1/20/2023,12840,13.89,1
23,1/19/2023,11764,13.89,1
24,1/18/2023,11634,13.89,1
25,1/17/2023,11504,13.89,1
26,1/16/2023,10082,13.89,2
27,1/15/2023,8660,13.89,2
28,1/14/2023,8174,13.89,3
29,1/13/2023,7689,13.89,3
30,1/12/2023,7213,13.89,3
31,1/11/2023,6737,13.89,4
32,1/10/2023,6948,13.89,3
33,1/9/2023,7159,13.89,3
34,1/8/2023,7100,13.89,3
35,1/7/2023,7042,13.89,3
36,1/6/2023,7445,13.89,3
37,1/5/2023,7384,13.89,3
38,1/4/2023,7324,13.89,3
39,1/3/2023,7164,13.89,3
40,1/2/2023,7442,13.89,3
41,1/1/2023,9430,13.89,2
42,12/31/2022,11417,13.89,1
43,12/30/2022,11777,13.89,1
44,12/29/2022,12136,13.89,1
45,12/28/2022,15470,13.89,0
46,12/27/2022,18804,13.89,0
47,12/26/2022,13907,13.89,0
48,12/25/2022,9011,13.89,2
49,12/24/2022,8806,13.89,2
50,12/23/2022,8601,13.89,2
51,12/22/2022,8885,13.89,2
52,12/21/2022,9168,13.89,2
53,12/20/2022,8322,13.89,2
54,12/19/2022,7477,13.89,3
55,12/18/2022,5618,13.89,5
56,12/17/2022,5468,13.89,5
57,12/16/2022,5318,13.89,5
58,12/15/2022,6094,13.89,4
59,12/14/2022,6869,13.89,3
60,12/13/2022,6312,13.89,4
61,12/12/2022,5756,13.89,5
62,12/11/2022,6274,13.89,4
63,12/10/2022,6791,13.89,4
64,12/9/2022,6557,13.89,4
65,12/8/2022,6324,13.89,4
66,12/7/2022,3416,13.89,7
67,12/6/2022,4824,13.89,6
68,12/5/2022,6231,13.89,4
69,12/4/2022,5144,13.89,5
70,12/3/2022,5139,13.89,5
71,12/2/2022,5135,13.89,5
72,12/1/2022,3411,13.89,7
73,11/30/2022,3825,13.89,7
74,11/29/2022,4238,13.89,6
75,11/28/2022,3955,13.89,7
76,11/27/2022,4216,13.89,6
77,11/26/2022,4477,13.89,6
78,11/25/2022,4038,13.89,7
79,11/24/2022,3599,13.89,7
80,11/23/2022,2684,13.89,10
81,11/22/2022,3033,13.89,8
82,11/21/2022,3382,13.89,7
83,11/20/2022,4511,13.89,6
84,11/19/2022,3889,13.89,7
85,11/18/2022,3267,13.89,7
86,11/17/2022,2716,13.89,10
87,11/16/2022,2166,13.89,12
88,11/15/2022,1228,13.89,21
89,11/14/2022,2828,13.89,9
90,11/13/2022,5063,13.89,5
91,11/12/2022,6219,13.89,4
92,11/11/2022,7188,13.89,3
93,11/10/2022,5995,13.89,4
94,11/9/2022,13406,13.89,1
95,11/8/2022,15926,13.89,0
96,11/7/2022,18446,13.89,0
97,11/6/2022,16717,13.89,0
98,11/6/2022,14988,13.89,0
99,11/5/2022,13259,13.89,1
100,11/4/2022,17146,13.89,0
101,11/3/2022,24436,13.89,0
102,11/2/2022,24508,13.89,0
103,11/1/2022,21227,13.89,0
104,10/31/2022,21481,13.89,0
105,10/30/2022,21734,13.89,0
106,10/29/2022,17448,13.89,0
107,10/28/2022,12182,13.89,1
108,10/27/2022,18299,13.89,0
109,10/26/2022,24415,13.89,0
110,10/25/2022,18496,13.89,0
111,10/24/2022,12577,13.89,1
112,10/23/2022,12297,13.89,1
113,10/22/2022,12018,13.89,1
114,10/21/2022,19078,13.89,0
115,10/20/2022,14498,13.89,0
116,10/19/2022,9918,13.89,2
117,10/18/2022,13450,13.89,1
118,10/17/2022,15809,13.89,0
119,10/16/2022,19893,13.89,0
120,10/15/2022,23975,13.89,0
121,10/14/2022,28057,13.89,0
122,10/13/2022,27354,13.89,0
123,10/12/2022,21050,13.89,0
124,10/11/2022,14747,13.89,0
125,10/10/2022,15573,13.89,0
126,10/9/2022,16397,13.89,0
127,10/8/2022,17221,13.89,0
128,10/7/2022,16006,13.89,0
129,10/6/2022,14792,13.89,0
130,10/5/2022,13578,13.89,1
131,10/4/2022,12863,13.89,1
132,10/3/2022,11428,13.89,1
133,10/2/2022,14009,13.89,0
134,10/1/2022,16589,13.89,0
135,9/30/2022,16883,13.89,0
136,9/29/2022,17176,13.89,0
137,9/28/2022,17469,13.89,0
138,9/27/2022,15991,13.89,0
139,9/26/2022,16565,13.89,0
140,9/25/2022,17138,13.89,0
141,9/24/2022,17711,13.89,0
142,9/23/2022,16975,13.89,0
143,9/22/2022,16240,13.89,0
144,9/21/2022,13350,13.89,1
145,9/20/2022,10461,13.89,2
146,9/19/2022,21416,13.89,0
147,9/18/2022,16316,13.89,0
148,9/17/2022,11216,13.89,1
149,9/16/2022,10641,13.89,2
150,9/15/2022,16792,13.89,0
151,9/14/2022,22943,13.89,0
152,9/13/2022,19892,13.89,0
153,9/12/2022,17971,13.89,0
154,9/11/2022,16225,13.89,0
155,9/10/2022,14479,13.89,0
156,9/9/2022,11704,13.89,1
157,9/8/2022,8931,13.89,2
158,9/7/2022,6158,13.89,4
159,9/6/2022,6255,13.89,4
160,9/5/2022,6352,13.89,4
161,9/4/2022,8982,13.89,2
162,9/3/2022,6917,13.89,3
163,9/2/2022,8019,13.89,3
164,9/1/2022,7977,13.89,3
