#,Date,Rank,Price,Sales
1,2/10/2023,1108,12.5,3
2,2/9/2023,798,12.62,4
3,2/8/2023,1101,12.59,3
4,2/7/2023,950,12.7,3
5,2/6/2023,800,12.8,4
6,2/5/2023,1242,12.92,3
7,2/4/2023,2588,13,2
8,2/3/2023,1960,13.06,2
9,2/2/2023,1333,13.12,3
10,2/1/2023,800,13.11,4
11,1/31/2023,698,13.11,4
12,1/30/2023,1220,13.14,3
13,1/29/2023,1741,13.16,2
14,1/28/2023,1612,13.27,2
15,1/27/2023,3924,13.33,1
16,1/26/2023,3219,13.37,1
17,1/25/2023,2514,13.41,2
18,1/24/2023,2914,13.41,2
19,1/23/2023,3443,13.51,1
20,1/22/2023,2218,13.6,2
21,1/21/2023,2581,13.53,2
22,1/20/2023,1098,13.47,3
23,1/19/2023,1286,13.13,3
24,1/18/2023,1103,13.1,3
25,1/17/2023,1488,13.07,2
26,1/16/2023,1260,13.1,3
27,1/15/2023,940,13.32,3
28,1/14/2023,864,13.21,4
29,1/13/2023,789,13.11,4
30,1/12/2023,747,12.56,4
31,1/11/2023,719,12.34,4
32,1/10/2023,702,12.33,4
33,1/9/2023,638,12.32,5
34,1/8/2023,521,12.36,6
35,1/7/2023,562,12.38,5
36,1/6/2023,457,12.39,6
37,1/5/2023,490,12.41,6
38,1/4/2023,502,12.39,6
39,1/3/2023,520,12.67,6
40,1/2/2023,380,12.62,7
41,1/1/2023,428,12.58,6
42,12/31/2022,374,12.65,7
43,12/30/2022,448,12.53,6
44,12/29/2022,703,12.5,4
45,12/28/2022,958,12.47,3
46,12/27/2022,630,12.44,5
47,12/26/2022,963,12.41,3
48,12/25/2022,2068,12.38,2
49,12/24/2022,1825,12.35,2
50,12/23/2022,1653,12.31,2
51,12/22/2022,727,12.29,4
52,12/21/2022,1714,12.27,2
53,12/20/2022,1759,12.32,2
54,12/19/2022,1325,12.31,3
55,12/18/2022,1662,12.31,2
56,12/17/2022,1724,12.3,2
57,12/16/2022,1786,12.3,2
58,12/15/2022,1977,12.29,2
59,12/14/2022,2167,12.28,2
60,12/13/2022,1347,12.44,2
61,12/12/2022,935,12.59,3
62,12/11/2022,966,12.61,3
63,12/10/2022,484,12.63,6
64,12/9/2022,799,12.7,4
65,12/8/2022,978,12.75,3
66,12/7/2022,1053,12.8,3
67,12/6/2022,1127,12.85,3
68,12/5/2022,475,12.69,6
69,12/4/2022,907,12.54,4
70,12/3/2022,2107,12.49,2
71,12/2/2022,2078,12.7,2
72,12/1/2022,1397,12.72,2
73,11/30/2022,998,12.74,3
74,11/29/2022,1418,12.76,2
75,11/28/2022,1619,14.13,2
76,11/27/2022,1886,14.22,2
77,11/26/2022,1034,14.31,3
78,11/25/2022,1051,14.17,3
79,11/24/2022,1389,14.03,2
80,11/23/2022,1336,13.87,3
81,11/22/2022,1279,13.85,3
82,11/21/2022,926,13.83,3
83,11/20/2022,1070,13.8,3
84,11/19/2022,780,13.77,4
85,11/18/2022,567,13.5,5
86,11/17/2022,485,13.61,6
87,11/16/2022,292,13.71,9
88,11/15/2022,308,13.71,9
89,11/14/2022,316,13.29,9
90,11/13/2022,430,12.88,6
91,11/12/2022,633,12.94,5
92,11/11/2022,533,13.07,6
93,11/10/2022,328,13.18,8
94,11/9/2022,904,13.29,4
95,11/8/2022,1166,13.15,3
96,11/7/2022,1427,13.01,2
97,11/6/2022,631,12.87,5
98,11/6/2022,667,12.84,5
99,11/5/2022,711,13.07,4
100,11/4/2022,1173,13.3,3
101,11/3/2022,1318,13.53,3
102,11/2/2022,1283,13.76,3
103,11/1/2022,1445,13.99,2
104,10/31/2022,1069,14.31,3
105,10/30/2022,793,14.62,4
106,10/29/2022,912,14.93,4
107,10/28/2022,1031,15.24,3
108,10/27/2022,674,14.92,5
109,10/26/2022,767,14.7,4
110,10/25/2022,1272,14.48,3
111,10/24/2022,1153,14.26,3
112,10/23/2022,817,14.04,4
113,10/22/2022,805,13.82,4
114,10/21/2022,477,13.6,6
115,10/20/2022,673,13.38,5
