#,Product Name,Brand,Price,Price 30,Min Price,Net,FBA Fees,Net Margin,LQS,Category,Product Score,productScoreReselling,Number of Sellers,Rank,BSR 30,Inventory,Est Sales,Est Revenue,# of Reviews,RPR,Available From,Rating,Best Seller in ,Best Seller Category URL,A+,Weight,Seller Type,Variants,ASIN,URL
1,Viva Naturals Premium Disposable Face Mask with Comfortable Earloops & Adjustable Metal Nose Strip (50 Pack),VivaNaturals,29.99,23.49,29.99,17.64,12.35,59,75,Health & Personal Care,4,,1,47,32,7,6477,152144.7,39579,4,8/17/2020,4.4,in Cloth Face Masks,https://www.amazon.ca/gp/bestsellers/hpc/21259400011/ref=zg_b_bs_21259400011_1,TRUE,0.68,MCH,6,B08DQB9MS7,https://www.amazon.ca/dp/B08DQB9MS7
2,Weddingstar 3-Ply Adult Washable Cloth Face Mask Reusable and Adjustable with Filter Pocket - Black,WEDDINGSTAR,11.99,11.99,11.99,5.86,6.13,49,62,Health & Personal Care,4,10,2,2452,1770,9,536,6426.64,10273,1,2/20/2021,4.1,,,TRUE,0.02,MCH,38,B0888991JR,https://www.amazon.ca/dp/B0888991JR
3,"EnerPlex Face Mask Cloth Mask Reusable Masks, 3-Ply Machine Washable, 3-Pack Adult, Kids, Extra Large",EnerPlex,24.95,24.43,24.95,16.87,8.08,68,68,Health & Personal Care,5,10,2,1857,1341,30,642,15304.79,111977,0,5/23/2020,4.4,masks reusable,https://www.amazon.ca/s/ref=choice_dp_b?keywords=masks%20reusable,TRUE,0.13,MCH,36,B088C2WD5F,https://www.amazon.ca/dp/B088C2WD5F
5,30 Pack Disposable Face Masdks - Ships From Canada Premium Quality - 5-Ply with Ear Loop Face Protection,WEAREKINGS,27.95,27.95,27.95,16.84,11.11,60,60,Health & Personal Care,5,,1,3976,3087,200,264,7378.8,451,16,4/22/2021,4,n 95 masks made in canada black,https://www.amazon.ca/s/ref=choice_dp_b?keywords=n%2095%20masks%20made%20in%20canada%20black,TRUE,0.44,MCH,1,B0936NHV6K,https://www.amazon.ca/dp/B0936NHV6K
9,"50Pcs Kids Face Mask Disposable 3 Ply Safety Face Mask-with Nanofiber Filter, Children Face Mask, Kids Masks",BARMBOOW,12.99,14.33,12.99,4.62,8.37,36,68,Industrial & Scientific,2,,1,6463,5485,30,22,315.99,333,1,5/18/2021,4.3,,,FALSE,0.31,MCH,4,B0927VDRB5,https://www.amazon.ca/dp/B0927VDRB5
11,Canada Health Plus Level 3 Black Mask (Made in Canada),Canada Health Plus,17.99,17.99,17.99,8.36,9.63,46,51,Health & Personal Care,4,,1,5477,4181,30,196,3526.04,331,11,5/3/2021,4.4,made in canada masks,https://www.amazon.ca/s/ref=choice_dp_b?keywords=made%20in%20canada%20masks,FALSE,0.53,MCH,1,B0924YB4L5,https://www.amazon.ca/dp/B0924YB4L5
13,6 PCS Cute Washable Reusable Adjustable Fashion Cloth Kids Face Masks,Vilesw,15.99,17.26,15.99,7.17,8.82,45,66,Health & Personal Care,2,,1,8267,9126,100,70,1216.55,624,2,9/29/2021,4.3,,,TRUE,0.18,MCH,10,B09GKN16QD,https://www.amazon.ca/dp/B09GKN16QD
14,Washable Kids Face Mask with Adjustable Ear Loops Reusable for Children Gift,Wrakus,13.89,13.89,13.89,5.39,8.5,39,68,Health & Personal Care,2,,1,7564,11848,30,39,541.71,5028,0,3/23/2021,4.4,,,TRUE,0.11,MCH,5,B08ZJ7W3DP,https://www.amazon.ca/dp/B08ZJ7W3DP
22,"First Aid Central Black Face Masks, ASTM Level 3, 3-Ply Earloop - Box of 50",FirstAidCentral,12.5,13.11,12.5,3.72,8.78,30,52,Health & Personal Care,4,,1,1108,1611,30,82,1070.58,28,38,2/7/2022,4.2,3 ply masks,https://www.amazon.ca/s/ref=choice_dp_b?keywords=3%20ply%20masks,TRUE,0.42,AMZ,1,B09S4HDRP4,https://www.amazon.ca/dp/B09S4HDRP4
25,BossGuard Copper Infused Reusable washable Face Mask/ Couvre-visage (3 Pack). Ergonomic designed 3 layered system with breathable materials makes these Face Covers comfortable and stylish while having more functionality and protection than a standard cloth mask.,Bossguard,15.99,15.99,15.99,9.26,6.73,58,67,Health & Personal Care,2,4,4,11007,9707,92,69,1103.31,1101,1,2/14/2021,4.2,,,TRUE,0.08,MCH,1,B08WDV4QJ2,https://www.amazon.ca/dp/B08WDV4QJ2
