#,Date,Rank,Price,Sales
1,2/8/2023,169846,55.99,0
2,2/7/2023,167332,55.99,0
3,2/6/2023,164819,55.99,0
4,2/5/2023,188454,55.99,0
5,2/4/2023,201877,55.99,0
6,2/3/2023,158097,55.99,0
7,2/2/2023,212368,55.99,0
8,2/1/2023,187593,55.99,0
9,1/31/2023,205583,55.99,0
10,1/30/2023,161247,55.99,0
11,1/29/2023,165669,55.99,0
12,1/28/2023,154788,55.99,0
13,1/27/2023,167388,55.99,0
14,1/26/2023,246589,55.99,0
15,1/25/2023,228792,55.99,0
16,1/24/2023,195868,55.99,0
17,1/23/2023,143987,55.99,0
18,1/22/2023,191452,55.99,0
19,1/21/2023,178297,55.99,0
20,1/20/2023,194128,55.99,0
21,1/19/2023,160961,55.99,0
22,1/18/2023,113847,55.99,0
23,1/17/2023,141739,55.99,0
24,1/16/2023,155425,55.99,0
25,1/15/2023,148429,55.99,0
26,1/14/2023,213362,55.99,0
27,1/13/2023,177735,55.99,0
28,1/12/2023,166674,55.99,0
29,1/11/2023,184155,55.99,0
30,1/10/2023,179484,55.99,0
31,1/9/2023,176507,55.99,0
32,1/8/2023,166897,55.99,0
33,1/7/2023,158521,55.99,0
34,1/6/2023,153943,55.99,0
35,1/5/2023,152175,55.99,0
36,1/4/2023,148314,55.99,0
37,1/3/2023,144453,55.99,0
38,1/2/2023,225200,55.99,0
39,1/1/2023,191111,55.99,0
40,12/31/2022,143527,55.99,0
41,12/30/2022,200488,55.99,0
42,12/29/2022,173174,55.99,0
43,12/28/2022,166888,55.92,0
44,12/27/2022,166674,55.92,0
45,12/26/2022,146314,55.92,0
46,12/25/2022,133949,55.92,0
47,12/24/2022,181806,55.92,0
48,12/23/2022,175200,55.92,0
49,12/22/2022,138140,55.92,0
50,12/21/2022,131939,55.92,0
51,12/20/2022,149527,55.92,0
52,12/19/2022,152805,55.92,0
53,12/18/2022,147894,55.92,0
54,12/17/2022,151199,55.92,0
55,12/16/2022,124617,55.92,0
56,12/15/2022,132154,55.92,0
57,12/14/2022,131432,55.92,0
58,12/13/2022,150173,55.92,0
59,12/12/2022,96160,55.92,2
60,12/11/2022,157113,55.92,0
61,12/10/2022,176593,55.92,0
62,12/9/2022,173951,55.92,0
63,12/8/2022,217788,55.92,0
64,12/7/2022,178734,55.92,0
65,12/6/2022,208474,55.92,0
66,12/5/2022,238213,55.92,0
67,12/4/2022,191528,55.92,0
68,12/3/2022,144843,55.92,0
69,12/2/2022,139639,55.92,0
70,12/1/2022,172211,55.92,0
71,11/30/2022,160172,55.92,0
72,11/29/2022,148133,55.92,0
73,11/28/2022,117657,55.92,0
74,11/27/2022,208826,55.92,0
75,11/26/2022,167154,55.92,0
76,11/25/2022,239971,55.92,0
77,11/24/2022,256282,55.92,0
78,11/23/2022,254631,55.92,0
79,11/22/2022,243007,55.92,0
80,11/21/2022,221848,55.84,0
81,11/20/2022,180432,55.77,0
82,11/19/2022,177095,55.7,0
83,11/18/2022,161156,55.66,0
84,11/17/2022,167136,55.63,0
85,11/16/2022,132162,55.6,0
86,11/15/2022,134069,55.59,0
87,11/14/2022,163802,55.58,0
88,11/13/2022,122845,55.6,0
89,11/12/2022,226918,55.61,0
90,11/11/2022,200361,55.72,0
91,11/10/2022,150575,55.85,0
92,11/9/2022,172136,55.86,0
93,11/8/2022,207208,55.87,0
94,11/7/2022,178806,55.88,0
95,11/6/2022,200508,55.89,0
96,11/5/2022,222209,55.9,0
97,11/4/2022,192043,55.91,0
98,11/3/2022,161877,55.92,0
99,11/2/2022,119496,55.93,0
100,11/1/2022,160037,55.94,0
101,10/31/2022,186518,55.95,0
102,10/30/2022,162961,55.96,0
103,10/29/2022,194427,55.97,0
104,10/28/2022,139736,55.98,0
105,10/27/2022,168325,55.99,0
106,10/26/2022,170404,57.89,0
107,10/25/2022,152341,59.78,0
108,10/24/2022,196076,61.67,0
109,10/23/2022,198272,63.56,0
110,10/22/2022,200467,65.45,0
111,10/21/2022,132456,64.75,0
112,10/20/2022,203863,64.05,0
113,10/19/2022,187931,63.35,0
114,10/18/2022,158009,64.67,0
115,10/17/2022,246687,65.99,0
116,10/16/2022,246618,60.71,0
117,10/15/2022,198141,60.41,0
118,10/14/2022,156249,60.24,0
119,10/13/2022,201479,60.07,0
120,10/12/2022,160107,59.9,0
121,10/11/2022,130465,59.73,0
122,10/10/2022,214883,59.56,0
123,10/9/2022,149963,59.39,0
124,10/8/2022,217128,59.22,0
125,10/7/2022,213220,59.05,0
126,10/6/2022,209312,58.88,0
127,10/5/2022,139587,58.71,0
128,10/4/2022,122691,58.54,0
129,10/3/2022,153625,58.37,0
130,10/2/2022,153222,58.2,0
131,10/1/2022,193007,58.03,0
132,9/30/2022,142449,57.86,0
133,9/29/2022,170759,57.69,0
134,9/28/2022,213303,57.52,0
135,9/27/2022,175531,57.35,0
136,9/26/2022,136795,57.18,0
137,9/25/2022,143842,57.01,0
138,9/24/2022,141598,56.84,0
139,9/23/2022,122250,56.67,0
140,9/22/2022,138029,56.5,0
141,9/21/2022,220679,56.33,0
142,9/20/2022,191927,56.16,0
143,9/19/2022,204192,55.99,0
144,9/18/2022,232025,58.97,0
145,9/17/2022,183589,61.92,0
146,9/16/2022,141273,64.87,0
147,9/15/2022,132229,67.82,0
148,9/14/2022,147669,57.33,0
149,9/13/2022,165535,46.86,0
150,9/12/2022,139093,36.39,0
151,9/11/2022,107667,41.29,0
152,9/10/2022,111178,46.17,0
153,9/9/2022,111016,51.05,0
154,9/8/2022,163837,55.93,0
155,9/7/2022,137585,60.81,0
156,9/6/2022,183285,65.69,0
157,9/5/2022,168174,65.68,0
158,9/4/2022,212279,65.68,0
159,9/3/2022,231010,65.7,0
160,9/2/2022,197523,65.7,0
161,9/1/2022,224424,65.7,0
162,8/31/2022,200921,65.7,0
163,8/30/2022,137025,65.7,0
164,8/29/2022,166389,65.7,0
165,8/28/2022,148956,65.7,0
166,8/27/2022,211655,64.24,0
167,8/26/2022,159885,62.84,0
168,8/25/2022,126833,61.44,0
169,8/24/2022,132982,60.04,0
170,8/23/2022,134873,58.64,0
171,8/22/2022,186854,57.24,0
172,8/21/2022,155493,55.84,0
173,8/20/2022,131842,59.13,0
174,8/19/2022,186768,62.41,0
175,8/18/2022,221672,65.69,0
176,8/17/2022,213596,65.64,0
177,8/16/2022,189288,65.59,0
178,8/15/2022,249661,65.56,0
179,8/14/2022,212426,65.54,0
180,8/13/2022,170278,65.52,0
181,8/12/2022,209304,65.5,0
182,8/11/2022,168138,65.48,0
183,8/10/2022,165236,65.46,0
184,8/9/2022,223615,65.51,0
185,8/8/2022,171117,65.53,0
186,8/7/2022,156650,65.55,0
187,8/6/2022,159373,65.57,0
188,8/5/2022,162089,65.59,0
189,8/4/2022,164805,65.61,0
190,8/3/2022,167521,65.63,0
191,8/2/2022,170237,65.65,0
192,8/1/2022,172953,65.67,0
193,7/31/2022,175669,65.69,0
194,7/30/2022,178385,65.71,0
195,7/29/2022,181101,65.73,0
196,7/28/2022,183817,65.75,0
197,7/27/2022,186533,65.77,0
198,7/26/2022,221852,65.79,0
199,7/25/2022,211919,65.81,0
200,7/24/2022,195894,65.83,0
201,7/23/2022,182829,65.85,0
202,7/22/2022,189017,65.87,0
203,7/21/2022,166709,65.89,0
204,7/20/2022,151844,65.91,0
205,7/19/2022,191315,65.93,0
206,7/18/2022,187387,65.95,0
207,7/17/2022,151814,65.97,0
208,7/16/2022,149888,65.99,0
209,7/15/2022,155081,66.01,0
210,7/14/2022,166233,66.03,0
211,7/13/2022,192817,66.05,0
212,7/12/2022,200490,66.07,0
213,7/11/2022,183637,66.09,0
214,7/10/2022,221719,66.11,0
215,7/9/2022,206503,66.13,0
216,7/8/2022,197869,66.15,0
217,7/7/2022,281946,66.17,0
218,7/6/2022,260058,66.19,0
219,7/5/2022,216685,66.21,0
220,7/4/2022,259750,66.23,0
221,7/3/2022,283201,66.25,0
222,7/2/2022,269138,66.27,0
223,7/1/2022,251344,66.29,0
224,6/30/2022,212341,66.31,0
225,6/29/2022,201531,66.33,0
226,6/28/2022,186101,66.35,0
227,6/27/2022,146230,66.37,0
228,6/26/2022,201218,66.39,0
229,6/25/2022,218803,66.41,0
230,6/24/2022,217949,66.43,0
