#,Date,Rank,Price,Sales
1,2/8/2023,13881,45.28,48
2,2/7/2023,13608,43.36,49
3,2/6/2023,12708,40.5,53
4,2/5/2023,17299,41.91,38
5,2/4/2023,16134,42.39,41
6,2/3/2023,12489,43.2,53
7,2/2/2023,12801,43.41,52
8,2/1/2023,12576,42.39,53
9,1/31/2023,12832,41.37,52
10,1/30/2023,13288,41.51,51
11,1/29/2023,19945,39.95,32
12,1/28/2023,16145,38.96,41
13,1/27/2023,11550,37.98,50
14,1/26/2023,10140,38.68,49
15,1/25/2023,10892,38.75,48
16,1/24/2023,11700,38.95,50
17,1/23/2023,13686,39.86,49
18,1/22/2023,19580,39.8,33
19,1/21/2023,18692,39.78,34
20,1/20/2023,13233,39.76,51
21,1/19/2023,11099,39.74,48
22,1/18/2023,10384,39.72,47
23,1/17/2023,11376,39.7,49
24,1/16/2023,13045,39.68,52
25,1/15/2023,17366,39.53,38
26,1/14/2023,14864,39.4,45
27,1/13/2023,10917,39.27,48
28,1/12/2023,11844,39.14,51
29,1/11/2023,12044,38.87,51
30,1/10/2023,11815,39.01,51
31,1/9/2023,11985,39.08,51
32,1/8/2023,12469,39.15,53
33,1/7/2023,12743,39.22,53
34,1/6/2023,13880,39.29,48
35,1/5/2023,15384,39.36,43
36,1/4/2023,16226,39.43,41
37,1/3/2023,16068,39.5,41
38,1/2/2023,20660,39.57,31
39,1/1/2023,20975,39.64,31
40,12/31/2022,18984,39.71,34
41,12/30/2022,16980,39.78,39
42,12/29/2022,15886,39.85,42
43,12/28/2022,18416,39.73,35
44,12/27/2022,18762,38.2,34
45,12/26/2022,22213,38.56,29
46,12/25/2022,19012,38.92,34
47,12/24/2022,17062,39.28,39
48,12/23/2022,17400,39.64,38
49,12/22/2022,15326,40,44
50,12/21/2022,15952,40.44,42
51,12/20/2022,17153,42.27,38
52,12/19/2022,18140,42.91,36
53,12/18/2022,17355,42.99,38
54,12/17/2022,16198,41.23,41
55,12/16/2022,16054,27.5,41
56,12/15/2022,15386,30.64,43
57,12/14/2022,15125,33.77,44
58,12/13/2022,14578,36.9,46
59,12/12/2022,15787,36.61,42
60,12/11/2022,19083,33.55,34
61,12/10/2022,17694,35.29,37
62,12/9/2022,13276,37.02,51
63,12/8/2022,11359,38.75,49
64,12/7/2022,11827,33.55,51
65,12/6/2022,10249,38.75,48
66,12/5/2022,14061,37.85,48
67,12/4/2022,18108,36.99,36
68,12/3/2022,17068,36.13,39
69,12/2/2022,13859,35.27,48
70,12/1/2022,13044,34.41,52
71,11/30/2022,12348,33.55,52
72,11/29/2022,14782,31.99,45
73,11/28/2022,18672,32.31,34
74,11/27/2022,24982,32.62,25
75,11/26/2022,22448,32.93,28
76,11/25/2022,22797,33.24,28
77,11/24/2022,16220,33.55,41
78,11/23/2022,12185,38.07,52
79,11/22/2022,11143,35.03,49
80,11/21/2022,15289,31.99,44
81,11/20/2022,17920,33.55,36
82,11/19/2022,15404,33.11,43
83,11/18/2022,11701,32.67,50
84,11/17/2022,10635,32.23,47
85,11/16/2022,11164,31.79,49
86,11/15/2022,10513,31.35,47
87,11/14/2022,11144,30.91,49
88,11/13/2022,14525,30.47,46
89,11/12/2022,14412,30.03,46
90,11/11/2022,10795,29.59,48
91,11/10/2022,9854,29.15,50
92,11/9/2022,9426,28.71,53
93,11/8/2022,9608,28.27,52
94,11/7/2022,9843,27.06,50
95,11/6/2022,12038,27.59,51
96,11/5/2022,9767,28.08,51
97,11/4/2022,5933,28.57,115
98,11/3/2022,5665,29.06,122
99,11/2/2022,6244,29.55,107
100,11/1/2022,6684,30.04,97
101,10/31/2022,8430,30.53,59
102,10/30/2022,10717,31.02,47
103,10/29/2022,10329,31.1,48
104,10/28/2022,7715,31.13,75
105,10/27/2022,8314,31.16,62
106,10/26/2022,9129,31.19,54
107,10/25/2022,9082,31.22,55
108,10/24/2022,9607,31.25,52
109,10/23/2022,12700,31.28,53
110,10/22/2022,12883,31.31,52
111,10/21/2022,10887,31.34,48
112,10/20/2022,9332,31.37,53
113,10/19/2022,9303,31.4,53
114,10/18/2022,9677,31.43,51
115,10/17/2022,11323,31.46,49
116,10/16/2022,12680,31.49,53
117,10/15/2022,11659,31.52,50
118,10/14/2022,9615,31.55,52
119,10/13/2022,10454,31.55,47
120,10/12/2022,11661,31.55,50
121,10/11/2022,11564,31.55,50
122,10/10/2022,11359,31.55,49
123,10/9/2022,12949,31.55,52
124,10/8/2022,12213,31.55,52
125,10/7/2022,10770,31.55,47
126,10/6/2022,9897,31.55,50
127,10/5/2022,10567,31.55,47
128,10/4/2022,11245,31.55,49
129,10/3/2022,11207,31.55,49
130,10/2/2022,15324,31.55,44
131,10/1/2022,12494,31.55,53
132,9/30/2022,9758,31.55,51
133,9/29/2022,9174,31.55,54
134,9/28/2022,10017,31.55,49
135,9/27/2022,10845,31.55,48
136,9/26/2022,11120,31.55,49
137,9/25/2022,13757,31.55,49
138,9/24/2022,13085,31.55,51
139,9/23/2022,10890,31.58,48
140,9/22/2022,9466,31.59,52
141,9/21/2022,10025,31.6,49
142,9/20/2022,9908,31.74,50
143,9/19/2022,9650,32.1,51
144,9/18/2022,11128,32.15,49
145,9/17/2022,9035,32.2,55
146,9/16/2022,6118,32.25,110
147,9/15/2022,5038,32.92,138
148,9/14/2022,5171,33.25,134
149,9/13/2022,5821,33.4,118
150,9/12/2022,5707,33.43,121
151,9/11/2022,7960,33.45,69
152,9/10/2022,8541,33.08,58
153,9/9/2022,6431,32.74,102
154,9/8/2022,6572,32.4,99
155,9/7/2022,7220,32.06,85
156,9/6/2022,8640,31.72,57
157,9/5/2022,14149,31.38,47
158,9/4/2022,13946,31.04,48
159,9/3/2022,13008,30.7,52
160,9/2/2022,9967,30.36,50
161,9/1/2022,8741,30.02,57
162,8/31/2022,9934,29.68,50
163,8/30/2022,10050,29.34,49
164,8/29/2022,11225,29,49
165,8/28/2022,12684,33,53
166,8/27/2022,12247,33.1,52
167,8/26/2022,10151,33.17,49
168,8/25/2022,9003,33.24,55
169,8/24/2022,8137,33.31,66
170,8/23/2022,7773,33.38,73
171,8/22/2022,7918,33.45,70
172,8/21/2022,10241,33.22,48
173,8/20/2022,8450,33,59
174,8/19/2022,5889,33.18,116
175,8/18/2022,5588,33.35,124
176,8/17/2022,5698,33.52,121
177,8/16/2022,5859,34.99,117
178,8/15/2022,6266,33.5,106
179,8/14/2022,7780,34.99,73
180,8/13/2022,8061,33.5,67
181,8/12/2022,6605,33.64,98
182,8/11/2022,5859,33.76,117
183,8/10/2022,6483,33.88,101
184,8/9/2022,6509,34,100
185,8/8/2022,7760,34.99,74
186,8/7/2022,10996,34.72,48
187,8/6/2022,12217,36.5,52
188,8/5/2022,9085,36.75,55
189,8/4/2022,9419,37,53
190,8/3/2022,8991,37.25,55
191,8/2/2022,8397,37.34,60
192,8/1/2022,9920,37.42,50
193,7/31/2022,11814,37.5,51
194,7/30/2022,10806,37.46,48
195,7/29/2022,8594,37.45,57
196,7/28/2022,7074,37.44,88
197,7/27/2022,7135,37.43,87
198,7/26/2022,7082,37.42,88
199,7/25/2022,6969,37.41,91
200,7/24/2022,6266,37.53,106
201,7/23/2022,5909,37.54,115
202,7/22/2022,5731,37.55,120
203,7/21/2022,5483,37.56,126
204,7/20/2022,5400,37.57,128
205,7/19/2022,5281,37.58,132
206,7/18/2022,4709,37.59,146
207,7/17/2022,3722,37.6,172
208,7/16/2022,3180,37.61,187
209,7/15/2022,2664,37.62,226
210,7/14/2022,2393,37.63,247
211,7/13/2022,2326,37.64,252
212,7/12/2022,2438,37.65,244
213,7/11/2022,4792,37.66,144
214,7/10/2022,8867,37.67,56
215,7/9/2022,10041,37.68,49
216,7/8/2022,9352,37.69,53
217,7/7/2022,8596,37.7,57
218,7/6/2022,8248,37.71,63
219,7/5/2022,9849,37.72,50
220,7/4/2022,13982,37.73,48
221,7/3/2022,12656,37.74,53
222,7/2/2022,12314,37.75,52
223,7/1/2022,11064,37.76,48
224,6/30/2022,10478,37.77,47
225,6/29/2022,10356,37.78,47
226,6/28/2022,11242,37.79,49
227,6/27/2022,12257,37.8,52
228,6/26/2022,15991,37.81,42
229,6/25/2022,14365,37.82,47
230,6/24/2022,12759,37.83,53
231,6/23/2022,10394,37.84,47
232,6/22/2022,11215,37.85,49
233,6/21/2022,11143,37.86,49
234,6/20/2022,15123,37.87,44
235,6/19/2022,13829,37.88,49
236,6/18/2022,12779,37.89,53
237,6/17/2022,11098,37.9,48
